"Therapeutic drug category","Number of occurences per 100 drug mentions","Standard error of rate"
"Mouth and throat products",0.1,0
"Ophthalmic preparations",1.9,0.3
"Ophthalmic anti-infectives",0.1,0
"Ophthalmic glaucoma agents",0.7,0.1
"Ophthalmic steroids",0.2,0
"Ophthalmic steroids with anti-infectives",0,0
"Ophthalmic anti-inflammatory agents",0.1,0
"Ophthalmic lubricants and irrigations",0,0
"Miscellaneous ophthalmic agents",0.2,0
"Ophthalmic antihistamines and decongestants",0.2,0
Mydriatics,*0.2,0.1
"Ophthalmic anesthetics",*0.1,0.1
"Ophthalmic diagnostic agents",*0.1,0.1
"Otic preparations",0.1,0
"Miscellaneous otic agents",0.1,0
"Vaginal preparations",0.3,0
Spermicides,*0.0,0
"Vaginal anti-infectives",0.3,0
"Nasal preparations",1.6,0.2
"Nasal steroids",1.5,0.1
"Nasal antihistamines and decongestants",0.1,0
"Alternative medicines",0.7,0.1
"Nutraceutical products",0.5,0
"Herbal products",0.2,0
"Psychotherapeutic agents",5.4,0.2
Antidepressants,4.5,0.2
"Miscellaneous antidepressants",0.6,0
"SSRI antidepressants",2.2,0.1
"Tricyclic antidepressants",0.4,0
"Phenylpiperazine antidepressants",0.4,0
"Tetracyclic antidepressants",0.1,0
"SSNRI antidepressants",0.7,0.1
Antipsychotics,0.9,0.1
"Miscellaneous antipsychotic agents",0.1,0
"Phenothiazine antipsychotics",0.1,0
"Atypical antipsychotics",0.7,0.1
"Immunologic agents",4.2,0.4
"Bacterial vaccines",0.8,0.1
"Immune globulins",0,0
Toxoids,0.7,0.1
"Viral vaccines",2.2,0.2
"Miscellaneous biologicals",*0.2,0.1
"Immunosuppressive agents",0.1,0
Interferons,0,0
"Immunosuppressive monoclonal antibodies",0.1,0
"Radiologic agents",0,0
"Radiocontrast agents",0,0
"Non-ionic iodinated contrast media",*0.0,0
"Ionic iodinated contrast media",0,0
"Radiologic adjuncts",*0.0,0
"Cardiac stressing agents",*0.0,0
"Metabolic agents",8.8,0.3
"Antihyperlipidemic agents",5,0.2
"HMG-CoA reductase inhibitors",3.5,0.1
"Miscellaneous antihyperlipidemic agents",0.2,0
"Fibric acid derivatives",0.3,0
"Bile acid sequestrants",0,0
"Cholesterol absorption inhibitors",0.4,0
"Antihyperlipidemic combinations",0.6,0
"Antidiabetic agents",3.5,0.1
Sulfonylureas,0.8,0
Non-sulfonylureas,1.1,0.1
Insulin,0.7,0
Thiazolidinediones,0.5,0
Meglitinides,0,0
"Antidiabetic combinations",0.2,0
"Dipeptidyl peptidase 4 inhibitors",0,0
"Antigout agents",0.3,0
"Antihyperuricemic agents",0.2,0
"Glucose elevating agents",*0.0,0
"Medical gases",0.1,0
"Pharmaceutical aids",0.3,0.1
