"Therapeutic drug category","Number of occurrences in thousands","Standard error in thousands"
"Anticholinergic antiemetics",16015,1149
"Miscellaneous antiemetics",22578,1835
"Anti-Parkinson agents",18692,1199
"Anticholinergic anti-Parkinson agents",11852,839
"Dopaminergic anti-Parkinson agents",6814,771
"Anxiolytics, sedatives, and hypnotics",103031,6053
Barbiturates,844,183
Benzodiazepines,62707,4567
"Miscellaneous anxiolytics, sedatives and hypnotics",39375,2254
"CNS stimulants",23057,2604
"General anesthetics","*2,314",1427
"Muscle relaxants",30161,2521
"Neuromuscular blocking agents",*273,85
"Skeletal muscle relaxants",29720,2500
"Miscellaneous central nervous system agents",1933,386
"Adrenal cortical steroids",54386,3533
Glucocorticoids,51543,3330
"Miscellaneous hormones",5401,680
"Sex hormones",44225,2898
Contraceptives,18958,1570
"Androgens and anabolic steroids",1883,404
Estrogens,13585,1423
Gonadotropins,*165,84
Progestins,6301,643
"Sex hormone combinations",3919,590
"Miscellaneous sex hormones",1472,330
"5-alpha-reductase inhibitors",4457,575
"Thyroid drugs",39440,2781
Bisphosphonates,18333,1829
"Incretin mimetics",1263,254
"Miscellaneous agents",118440,7209
Antidotes,1107,197
"Chelating agents",558,153
"Local injectable anesthetics",17402,2156
"Miscellaneous uncategorized agents",48665,4272
"Genitourinary tract agents",19015,1568
"Impotence agents",6964,827
"Urinary antispasmodics",9232,914
"Urinary pH modifiers",634,164
"Miscellaneous genitourinary tract agents",2186,338
Antirheumatics,12730,2953
Antipsoriatics,4944,1311
"Smoking cessation agents",17757,1297
"Nutritional products",143923,10107
"Iron products",9334,986
"Minerals and electrolytes",46550,3210
"Oral nutritional supplements",620,143
Vitamins,31921,2964
"Vitamin and mineral combinations",31826,2881
"Respiratory agents",257262,15160
Antihistamines,77432,5106
Antitussives,8384,1045
Bronchodilators,83083,6169
Methylxanthines,1625,388
"Adrenergic bronchodilators",50745,3688
"Bronchodilator combinations",22590,2220
"Anticholinergic bronchodilators",8123,970
Decongestants,6054,1192
Expectorants,8555,1177
"Miscellaneous respiratory agents",10608,980
"Respiratory inhalant products",11558,1079
"Inhaled corticosteroids",11241,1061
"Antiasthmatic combinations",2984,455
"Upper respiratory combinations",29132,2618
"Leukotriene modifiers",19356,2331
"Lung surfactants",*115,67
"Topical agents",178462,12424
"Anorectal preparations",1056,263
"Antiseptics and germicides",2811,512
"Dermatological agents",75101,4733
"Topical anti-infectives",2481,406
"Topical steroids",27393,2068
"Topical anesthetics",1964,500
"Miscellaneous topical agents",13420,1433
"Topical steroids with antiinfectives",2537,472
"Topical acne agents",9915,1157
"Topical antipsoriatics",1225,257
"Topical emollients",3695,576
"Topical antibiotics",5098,602
"Topical antifungals",7860,765
"Topical debriding agents",*103,41
"Mouth and throat products",1404,318
"Ophthalmic preparations",50271,7970
"Ophthalmic anti-infectives",3678,437
"Ophthalmic glaucoma agents",18551,2784
"Ophthalmic steroids",5655,1064
"Ophthalmic steroids with anti-infectives",1144,273
"Ophthalmic anti-inflammatory agents",2005,432
"Ophthalmic lubricants and irrigations",936,262
"Miscellaneous ophthalmic agents",5151,855
"Ophthalmic antihistamines and decongestants",4190,931
Mydriatics,"*4,276",2468
"Ophthalmic anesthetics","*1,903",1726
"Ophthalmic diagnostic agents","*2,242",2174
"Otic preparations",3621,432
"Miscellaneous otic agents",3474,429
"Vaginal preparations",7522,816
Spermicides,*182,138
"Vaginal anti-infectives",7329,798
"Nasal preparations",43545,4487
"Nasal steroids",39059,3813
"Nasal antihistamines and decongestants",4006,869
"Alternative medicines",19720,2269
"Nutraceutical products",14579,1594
"Herbal products",4765,938
"Psychotherapeutic agents",146056,7722
Antidepressants,120578,6498
"Miscellaneous antidepressants",17171,1255
"SSRI antidepressants",60240,3281
"Tricyclic antidepressants",11518,978
"Phenylpiperazine antidepressants",9474,883
"Tetracyclic antidepressants",2595,381
"SSNRI antidepressants",19399,1607
Antipsychotics,25477,1971
"Miscellaneous antipsychotic agents",3390,441
"Phenothiazine antipsychotics",2860,377
"Atypical antipsychotics",18882,1623
"Immunologic agents",113295,9949
"Bacterial vaccines",21155,2246
"Immune globulins",794,232
Toxoids,20006,1673
"Viral vaccines",59319,6024
"Miscellaneous biologicals","*6,049",2718
"Immunosuppressive agents",2363,509
Interferons,509,113
"Immunosuppressive monoclonal antibodies",2284,661
"Radiologic agents",979,182
"Radiocontrast agents",437,92
"Non-ionic iodinated contrast media",*70,35
"Ionic iodinated contrast media",206,54
"Radiologic adjuncts",*454,142
"Cardiac stressing agents",*454,142
"Metabolic agents",235856,15452
"Antihyperlipidemic agents",134452,9235
"HMG-CoA reductase inhibitors",95408,6400
"Miscellaneous antihyperlipidemic agents",5125,648
"Fibric acid derivatives",8983,825
"Bile acid sequestrants",626,144
"Cholesterol absorption inhibitors",9434,999
"Antihyperlipidemic combinations",14877,1575
"Antidiabetic agents",92853,6401
Sulfonylureas,21356,1589
Non-sulfonylureas,30091,2259
Insulin,19805,1639
Thiazolidinediones,13818,1158
Meglitinides,1024,293
"Antidiabetic combinations",5027,837
"Dipeptidyl peptidase 4 inhibitors",1236,273
"Antigout agents",8171,931
"Antihyperuricemic agents",6325,743
"Glucose elevating agents",*199,106
"Medical gases",1468,325
"Pharmaceutical aids",6945,1498
