"Therapeutic drug category","Standard error of rate"
Methylxanthines,0
"Adrenergic bronchodilators",0.1
"Bronchodilator combinations",0.1
"Anticholinergic bronchodilators",0
Decongestants,0
Expectorants,0
"Miscellaneous respiratory agents",0
"Respiratory inhalant products",0
"Inhaled corticosteroids",0
"Antiasthmatic combinations",0
"Upper respiratory combinations",0.1
"Leukotriene modifiers",0.1
"Lung surfactants",0
"Topical agents",0.4
"Anorectal preparations",0
"Antiseptics and germicides",0
"Dermatological agents",0.2
"Topical anti-infectives",0
"Topical steroids",0.1
"Topical anesthetics",0
"Miscellaneous topical agents",0.1
"Topical steroids with antiinfectives",0
"Topical acne agents",0
"Topical antipsoriatics",0
"Topical emollients",0
"Topical antibiotics",0
"Topical antifungals",0
"Topical debriding agents",0
"Mouth and throat products",0
"Ophthalmic preparations",0.3
"Ophthalmic anti-infectives",0
"Ophthalmic glaucoma agents",0.1
"Ophthalmic steroids",0
"Ophthalmic steroids with anti-infectives",0
"Ophthalmic anti-inflammatory agents",0
"Ophthalmic lubricants and irrigations",0
"Miscellaneous ophthalmic agents",0
"Ophthalmic antihistamines and decongestants",0
Mydriatics,0.1
"Ophthalmic anesthetics",0.1
"Ophthalmic diagnostic agents",0.1
"Otic preparations",0
"Miscellaneous otic agents",0
"Vaginal preparations",0
Spermicides,0
"Vaginal anti-infectives",0
"Nasal preparations",0.2
"Nasal steroids",0.1
"Nasal antihistamines and decongestants",0
"Alternative medicines",0.1
"Nutraceutical products",0
"Herbal products",0
"Psychotherapeutic agents",0.2
Antidepressants,0.2
"Miscellaneous antidepressants",0
"SSRI antidepressants",0.1
"Tricyclic antidepressants",0
"Phenylpiperazine antidepressants",0
"Tetracyclic antidepressants",0
"SSNRI antidepressants",0.1
Antipsychotics,0.1
"Miscellaneous antipsychotic agents",0
"Phenothiazine antipsychotics",0
"Atypical antipsychotics",0.1
"Immunologic agents",0.4
"Bacterial vaccines",0.1
"Immune globulins",0
Toxoids,0.1
"Viral vaccines",0.2
"Miscellaneous biologicals",0.1
"Immunosuppressive agents",0
Interferons,0
"Immunosuppressive monoclonal antibodies",0
"Radiologic agents",0
"Radiocontrast agents",0
"Non-ionic iodinated contrast media",0
"Ionic iodinated contrast media",0
"Radiologic adjuncts",0
"Cardiac stressing agents",0
"Metabolic agents",0.3
"Antihyperlipidemic agents",0.2
"HMG-CoA reductase inhibitors",0.1
"Miscellaneous antihyperlipidemic agents",0
"Fibric acid derivatives",0
"Bile acid sequestrants",0
"Cholesterol absorption inhibitors",0
"Antihyperlipidemic combinations",0
"Antidiabetic agents",0.1
Sulfonylureas,0
Non-sulfonylureas,0.1
Insulin,0
Thiazolidinediones,0
Meglitinides,0
"Antidiabetic combinations",0
"Dipeptidyl peptidase 4 inhibitors",0
"Antigout agents",0
"Antihyperuricemic agents",0
"Glucose elevating agents",0
"Medical gases",0
"Pharmaceutical aids",0.1
