| Therapeutic drug category                          | Standard error |
| Respiratory inhalant products                      | 1079           |
| Inhaled corticosteroids                            | 1061           |
| Antiasthmatic combinations                         | 455            |
| Upper respiratory combinations                     | 2618           |
| Leukotriene modifiers                              | 2331           |
| Lung surfactants                                   | 67             |
| Topical agents                                     | 12424          |
| Anorectal preparations                             | 263            |
| Antiseptics and germicides                         | 512            |
| Dermatological agents                              | 4733           |
| Topical anti-infectives                            | 406            |
| Topical steroids                                   | 2068           |
| Topical anesthetics                                | 500            |
| Miscellaneous topical agents                       | 1433           |
| Topical steroids with antiinfectives               | 472            |
| Topical acne agents                                | 1157           |
| Topical antipsoriatics                             | 257            |
| Topical emollients                                 | 576            |
| Topical antibiotics                                | 602            |
| Topical antifungals                                | 765            |
| Topical debriding agents                           | 41             |
| Mouth and throat products                          | 318            |
| Ophthalmic preparations                            | 7970           |
| Ophthalmic anti-infectives                         | 437            |
| Ophthalmic glaucoma agents                         | 2784           |
| Ophthalmic steroids                                | 1064           |
| Ophthalmic steroids with anti-infectives           | 273            |
| Ophthalmic anti-inflammatory agents                | 432            |
| Ophthalmic lubricants and irrigations              | 262            |
| Miscellaneous ophthalmic agents                    | 855            |
| Ophthalmic antihistamines and decongestants        | 931            |
| Mydriatics                                         | 2468           |
| Ophthalmic anesthetics                             | 1726           |
| Ophthalmic diagnostic agents                       | 2174           |
| Otic preparations                                  | 432            |
| Miscellaneous otic agents                          | 429            |
| Vaginal preparations                               | 816            |
| Spermicides                                        | 138            |
| Vaginal anti-infectives                            | 798            |
| Nasal preparations                                 | 4487           |
| Nasal steroids                                     | 3813           |
| Nasal antihistamines and decongestants             | 869            |
| Alternative medicines                              | 2269           |
| Nutraceutical products                             | 1594           |
| Herbal products                                    | 938            |
| Psychotherapeutic agents                           | 7722           |
| Antidepressants                                    | 6498           |
| Miscellaneous antidepressants                      | 1255           |
| SSRI antidepressants                               | 3281           |
| Tricyclic antidepressants                          | 978            |
| Phenylpiperazine antidepressants                   | 883            |
| Tetracyclic antidepressants                        | 381            |
| SSNRI antidepressants                              | 1607           |
| Antipsychotics                                     | 1971           |
| Miscellaneous antipsychotic agents                 | 441            |
| Phenothiazine antipsychotics                       | 377            |
| Atypical antipsychotics                            | 1623           |
| Immunologic agents                                 | 9949           |
| Bacterial vaccines                                 | 2246           |
| Immune globulins                                   | 232            |
| Toxoids                                            | 1673           |
| Viral vaccines                                     | 6024           |
| Miscellaneous biologicals                          | 2718           |
| Immunosuppressive agents                           | 509            |
| Interferons                                        | 113            |
| Immunosuppressive monoclonal antibodies            | 661            |
| Radiologic agents                                  | 182            |
| Radiocontrast agents                               | 92             |
| Non-ionic iodinated contrast media                 | 35             |
| Ionic iodinated contrast media                     | 54             |
| Radiologic adjuncts                                | 142            |
| Cardiac stressing agents                           | 142            |
| Metabolic agents                                   | 15452          |
| Antihyperlipidemic agents                          | 9235           |
| HMG-CoA reductase inhibitors                       | 6400           |
| Miscellaneous antihyperlipidemic agents            | 648            |
| Fibric acid derivatives                            | 825            |
| Bile acid sequestrants                             | 144            |
| Cholesterol absorption inhibitors                  | 999            |
| Antihyperlipidemic combinations                    | 1575           |
| Antidiabetic agents                                | 6401           |
| Sulfonylureas                                      | 1589           |
| Non-sulfonylureas                                  | 2259           |
| Insulin                                            | 1639           |
| Thiazolidinediones                                 | 1158           |
| Meglitinides                                       | 293            |
| Antidiabetic combinations                          | 837            |
| Dipeptidyl peptidase 4 inhibitors                  | 273            |
| Antigout agents                                    | 931            |
| Antihyperuricemic agents                           | 743            |
| Glucose elevating agents                           | 106            |
| Medical gases                                      | 325            |
| Pharmaceutical aids                                | 1498           |
