"Table 9. Death rates for selected causes, by race and Hispanic origin and sex: United States, 2019",
"  Malignant neoplasms of trachea, bronchus and lung",46.3
"  Malignant melanoma of skin",3.3
"  Malignant neoplasm of breast",0.3
"  Malignant neoplasm of cervix uteri",…
"  Malignant neoplasm of ovary",…
"  Malignant neoplasm of prostate",19.6
"  Malignant neoplasms of kidney and renal pelvis",5.7
"  Malignant neoplasm of bladder",7.5
"  Malignant neoplasms of meninges, brain and other parts of central nervous system",6.1
"  Non-Hodgkin lymphoma",7.1
"  Multiple myeloma and immunoproliferative neoplasms",4.5
"  Leukemia",8.4
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",5.2
Anemias,1.5
"Diabetes mellitus",30.6
"Nutritional deficiencies",2.7
Obesity,2.7
"Parkinson disease",13.4
"Alzheimer disease",23.5
"Major cardiovascular diseases",279.2
"  Diseases of heart",221.3
"  Essential hypertension and hypertensive renal disease",10.3
"  Cerebrovascular diseases",39.8
"  Atherosclerosis",1.3
"  Aortic aneurysm and dissection",3.6
"Influenza and pneumonia",15.2
"Chronic lower respiratory diseases",45.6
"Pneumonitis due to solids and liquids",6.7
"Chronic liver disease and cirrhosis",17.4
"  Alcoholic liver disease",10.3
"Cholelithiasis and other disorders of gallbladder",1.2
"Nephritis, nephrotic syndrome and nephrosis",16.5
"Pregnancy, childbirth and the puerperium",…
"Certain conditions originating in the perinatal period",3.6
"Congenital malformations, deformations and chromosomal abnormalities",3.1
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",9.7
"Accidents (unintentional injuries)",69.7
"  Motor vehicle accidents",17.2
"  Falls",12.4
"  Accidental discharge of firearms",0.3
"  Accidental drowning and submersion",1.7
"  Accidental hanging, strangulation, and suffocation",2.6
"  Accidental exposure to smoke, fire and flames",1
"  Accidental poisoning and exposure to noxious substances",28.6
"Intentional self–harm (suicide)",23
"  Intentional self–harm (suicide) by poisoning",1.9
"  Intentional self–harm (suicide) by hanging, strangulation and suffocation",6.6
"  Intentional self–harm (suicide) by discharge of firearms",12.8
"Assault (homicide)",9.4
"  Assault (homicide) by discharge of firearms",7.5
"Legal intervention",0.4
"Complications of medical and surgical care",1.8
"Dementia-related causes",56
"Drug-induced deaths",31.2
"  Drug overdose deaths",29.6
"Alcohol-induced deaths",17.3
"Injury by firearms",21.1
,
Female,
,
"Cause of death","Death rate"
"All causes",829
"Enterocolitis due to Clostridium difficile",1.6
Septicemia,11.7
"Viral hepatitis",0.9
"Human immunodeficiency virus (HIV) disease",0.8
"Malignant neoplasms",170.3
"  Malignant neoplasms of lip, oral cavity and pharynx",1.9
"  Malignant neoplasm of esophagus",1.9
"  Malignant neoplasm of stomach",2.7
"  Malignant neoplasms of colon, rectum and anus",14.9
"  Malignant neoplasms of liver and intrahepatic bile ducts",5.6
"  Malignant neoplasm of pancreas",13.3
"  Malignant neoplasms of trachea, bronchus and lung",38.9
"  Malignant melanoma of skin",1.7
"  Malignant neoplasm of breast",25.4
"  Malignant neoplasm of cervix uteri",2.5
"  Malignant neoplasm of ovary",8.1
"  Malignant neoplasm of prostate",…
"  Malignant neoplasms of kidney and renal pelvis",2.9
"  Malignant neoplasm of bladder",2.8
"  Malignant neoplasms of meninges, brain and other parts of central nervous system",4.5
"  Non-Hodgkin lymphoma",5.3
"  Multiple myeloma and immunoproliferative neoplasms",3.4
"  Leukemia",5.8
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",4.3
Anemias,1.7
"Diabetes mellitus",22.9
"Nutritional deficiencies",4.3
Obesity,2.4
"Parkinson disease",8.2
"Alzheimer disease",50.1
"Major cardiovascular diseases",251.2
"  Diseases of heart",180.9
"  Essential hypertension and hypertensive renal disease",12
"  Cerebrovascular diseases",51.4
"  Atherosclerosis",1.4
"  Aortic aneurysm and dissection",2.5
"Influenza and pneumonia",15.1
"Chronic lower respiratory diseases",50
"Pneumonitis due to solids and liquids",5
"Chronic liver disease and cirrhosis",9.8
"  Alcoholic liver disease",4.5
"Cholelithiasis and other disorders of gallbladder",1.2
"Nephritis, nephrotic syndrome and nephrosis",14.9
"Pregnancy, childbirth and the puerperium",0.7
"Certain conditions originating in the perinatal period",2.7
"Congenital malformations, deformations and chromosomal abnormalities",2.8
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",10
"Accidents (unintentional injuries)",36.2
"  Motor vehicle accidents",6.8
"  Falls",11.6
"  Accidental discharge of firearms",0
"  Accidental drowning and submersion",0.5
"  Accidental hanging, strangulation, and suffocation",1.8
"  Accidental exposure to smoke, fire and flames",0.6
"  Accidental poisoning and exposure to noxious substances",11.8
"Intentional self–harm (suicide)",6.2
"  Intentional self–harm (suicide) by poisoning",1.8
"  Intentional self–harm (suicide) by hanging, strangulation and suffocation",1.8
"  Intentional self–harm (suicide) by discharge of firearms",1.9
"Assault (homicide)",2.3
"  Assault (homicide) by discharge of firearms",1.4
"Legal intervention",0
"Complications of medical and surgical care",1.5
"Dementia-related causes",108.9
"Drug-induced deaths",14.5
"  Drug overdose deaths",13.7
"Alcohol-induced deaths",6.7
"Injury by firearms",3.4
