"Table 6. Number of deaths from selected causes, by age: United States, 2019",
"Assault (homicide)",19141
"  Assault (homicide) by discharge of firearms",14414
"Legal intervention",652
"Complications of medical and surgical care",5329
"Dementia-related causes",271872
"Drug-induced deaths",74511
"  Drug overdose deaths",70630
"Alcohol-induced deaths",39043
"Injury by firearms",39707
,
"Under 1 year",
,
"Cause of death",Number
"All causes",20921
"Enterocolitis due to Clostridium difficile",3
Septicemia,133
"Viral hepatitis",–
"Human immunodeficiency virus (HIV) disease",1
"Malignant neoplasms",55
"  Malignant neoplasms of lip, oral cavity and pharynx",–
"  Malignant neoplasm of esophagus",–
"  Malignant neoplasm of stomach",–
"  Malignant neoplasms of colon, rectum and anus",–
"  Malignant neoplasms of liver and intrahepatic bile ducts",4
"  Malignant neoplasm of pancreas",–
"  Malignant neoplasms of trachea, bronchus and lung",2
"  Malignant melanoma of skin",–
"  Malignant neoplasm of breast",–
"  Malignant neoplasm of cervix uteri",–
"  Malignant neoplasm of ovary",–
"  Malignant neoplasm of prostate",–
"  Malignant neoplasms of kidney and renal pelvis",–
"  Malignant neoplasm of bladder",–
"  Malignant neoplasms of meninges, brain and other parts of central nervous system",17
"  Non-Hodgkin lymphoma",–
"  Multiple myeloma and immunoproliferative neoplasms",–
"  Leukemia",13
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",42
Anemias,11
"Diabetes mellitus",–
"Nutritional deficiencies",13
Obesity,–
"Parkinson disease",–
"Alzheimer disease",–
"Major cardiovascular diseases",387
"  Diseases of heart",268
"  Essential hypertension and hypertensive renal disease",1
"  Cerebrovascular diseases",102
"  Atherosclerosis",2
"  Aortic aneurysm and dissection",1
"Influenza and pneumonia",156
"Chronic lower respiratory diseases",12
"Pneumonitis due to solids and liquids",8
"Chronic liver disease and cirrhosis",–
"  Alcoholic liver disease",–
"Cholelithiasis and other disorders of gallbladder",–
"Nephritis, nephrotic syndrome and nephrosis",61
"Pregnancy, childbirth and the puerperium",…
"Certain conditions originating in the perinatal period",10294
"Congenital malformations, deformations and chromosomal abnormalities",4301
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",2453
"Accidents (unintentional injuries)",1266
"  Motor vehicle accidents",74
"  Falls",7
"  Accidental discharge of firearms",2
"  Accidental drowning and submersion",34
"  Accidental hanging, strangulation, and suffocation",1095
"  Accidental exposure to smoke, fire and flames",8
"  Accidental poisoning and exposure to noxious substances",14
"Intentional self–harm (suicide)",…
"  Intentional self–harm (suicide) by poisoning",…
"  Intentional self–harm (suicide) by hanging, strangulation and suffocation",…
"  Intentional self–harm (suicide) by discharge of firearms",…
"Assault (homicide)",263
"  Assault (homicide) by discharge of firearms",10
"Legal intervention",–
"Complications of medical and surgical care",29
"Dementia-related causes",10
"Drug-induced deaths",50
"  Drug overdose deaths",50
"Alcohol-induced deaths",–
"Injury by firearms",12
,
5–14,
,
"Cause of death",Number
"All causes",5497
"Enterocolitis due to Clostridium difficile",–
Septicemia,63
"Viral hepatitis",1
"Human immunodeficiency virus (HIV) disease",1
"Malignant neoplasms",775
"  Malignant neoplasms of lip, oral cavity and pharynx",1
"  Malignant neoplasm of esophagus",–
"  Malignant neoplasm of stomach",1
"  Malignant neoplasms of colon, rectum and anus",1
"  Malignant neoplasms of liver and intrahepatic bile ducts",9
"  Malignant neoplasm of pancreas",–
"  Malignant neoplasms of trachea, bronchus and lung",4
"  Malignant melanoma of skin",3
"  Malignant neoplasm of breast",–
"  Malignant neoplasm of cervix uteri",–
"  Malignant neoplasm of ovary",1
"  Malignant neoplasm of prostate",–
"  Malignant neoplasms of kidney and renal pelvis",23
"  Malignant neoplasm of bladder",1
"  Malignant neoplasms of meninges, brain and other parts of central nervous system",294
"  Non-Hodgkin lymphoma",18
"  Multiple myeloma and immunoproliferative neoplasms",1
"  Leukemia",189
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",66
Anemias,29
"Diabetes mellitus",26
"Nutritional deficiencies",3
Obesity,9
"Parkinson disease",–
"Alzheimer disease",–
"Major cardiovascular diseases",275
"  Diseases of heart",178
"  Essential hypertension and hypertensive renal disease",–
"  Cerebrovascular diseases",85
"  Atherosclerosis",2
"  Aortic aneurysm and dissection",6
"Influenza and pneumonia",123
"Chronic lower respiratory diseases",150
"Pneumonitis due to solids and liquids",10
"Chronic liver disease and cirrhosis",3
"  Alcoholic liver disease",–
"Cholelithiasis and other disorders of gallbladder",1
"Nephritis, nephrotic syndrome and nephrosis",12
"Pregnancy, childbirth and the puerperium",2
"Certain conditions originating in the perinatal period",30
"Congenital malformations, deformations and chromosomal abnormalities",381
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",103
"Accidents (unintentional injuries)",1492
"  Motor vehicle accidents",847
"  Falls",28
"  Accidental discharge of firearms",25
"  Accidental drowning and submersion",233
"  Accidental hanging, strangulation, and suffocation",61
"  Accidental exposure to smoke, fire and flames",111
"  Accidental poisoning and exposure to noxious substances",33
"Intentional self–harm (suicide)",546
"  Intentional self–harm (suicide) by poisoning",31
"  Intentional self–harm (suicide) by hanging, strangulation and suffocation",328
"  Intentional self–harm (suicide) by discharge of firearms",172
"Assault (homicide)",346
"  Assault (homicide) by discharge of firearms",212
"Legal intervention",–
"Complications of medical and surgical care",38
"Dementia-related causes",25
"Drug-induced deaths",63
"  Drug overdose deaths",63
"Alcohol-induced deaths",2
"Injury by firearms",424
,
15–24,
,
"Cause of death",Number
"All causes",29771
"Enterocolitis due to Clostridium difficile",2
Septicemia,113
"Viral hepatitis",7
"Human immunodeficiency virus (HIV) disease",55
"Malignant neoplasms",1388
"  Malignant neoplasms of lip, oral cavity and pharynx",15
"  Malignant neoplasm of esophagus",6
"  Malignant neoplasm of stomach",20
"  Malignant neoplasms of colon, rectum and anus",37
"  Malignant neoplasms of liver and intrahepatic bile ducts",35
"  Malignant neoplasm of pancreas",7
"  Malignant neoplasms of trachea, bronchus and lung",22
"  Malignant melanoma of skin",14
"  Malignant neoplasm of breast",11
"  Malignant neoplasm of cervix uteri",8
"  Malignant neoplasm of ovary",18
"  Malignant neoplasm of prostate",3
"  Malignant neoplasms of kidney and renal pelvis",27
"  Malignant neoplasm of bladder",1
"  Malignant neoplasms of meninges, brain and other parts of central nervous system",232
"  Non-Hodgkin lymphoma",97
"  Multiple myeloma and immunoproliferative neoplasms",1
"  Leukemia",296
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",66
Anemias,54
"Diabetes mellitus",248
"Nutritional deficiencies",10
Obesity,84
"Parkinson disease",–
"Alzheimer disease",–
"Major cardiovascular diseases",1097
"  Diseases of heart",872
"  Essential hypertension and hypertensive renal disease",19
"  Cerebrovascular diseases",158
"  Atherosclerosis",–
"  Aortic aneurysm and dissection",28
"Influenza and pneumonia",175
"Chronic lower respiratory diseases",168
"Pneumonitis due to solids and liquids",33
"Chronic liver disease and cirrhosis",33
"  Alcoholic liver disease",25
"Cholelithiasis and other disorders of gallbladder",2
"Nephritis, nephrotic syndrome and nephrosis",68
"Pregnancy, childbirth and the puerperium",150
"Certain conditions originating in the perinatal period",12
"Congenital malformations, deformations and chromosomal abnormalities",390
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",502
"Accidents (unintentional injuries)",11755
"  Motor vehicle accidents",6031
"  Falls",178
"  Accidental discharge of firearms",128
"  Accidental drowning and submersion",415
"  Accidental hanging, strangulation, and suffocation",108
"  Accidental exposure to smoke, fire and flames",81
"  Accidental poisoning and exposure to noxious substances",4346
"Intentional self–harm (suicide)",5954
"  Intentional self–harm (suicide) by poisoning",482
"  Intentional self–harm (suicide) by hanging, strangulation and suffocation",2153
"  Intentional self–harm (suicide) by discharge of firearms",2800
"Assault (homicide)",4774
"  Assault (homicide) by discharge of firearms",4339
"Legal intervention",104
"Complications of medical and surgical care",53
"Dementia-related causes",5
"Drug-induced deaths",4891
"  Drug overdose deaths",4777
"Alcohol-induced deaths",164
"Injury by firearms",7437
,
25–34,
,
"Cause of death",Number
"All causes",59178
"Enterocolitis due to Clostridium difficile",18
Septicemia,381
"Viral hepatitis",44
"Human immunodeficiency virus (HIV) disease",486
"Malignant neoplasms",3577
"  Malignant neoplasms of lip, oral cavity and pharynx",54
"  Malignant neoplasm of esophagus",49
"  Malignant neoplasm of stomach",125
"  Malignant neoplasms of colon, rectum and anus",324
"  Malignant neoplasms of liver and intrahepatic bile ducts",112
"  Malignant neoplasm of pancreas",53
"  Malignant neoplasms of trachea, bronchus and lung",106
"  Malignant melanoma of skin",113
"  Malignant neoplasm of breast",433
"  Malignant neoplasm of cervix uteri",183
"  Malignant neoplasm of ovary",88
"  Malignant neoplasm of prostate",2
"  Malignant neoplasms of kidney and renal pelvis",62
"  Malignant neoplasm of bladder",15
"  Malignant neoplasms of meninges, brain and other parts of central nervous system",416
"  Non-Hodgkin lymphoma",151
"  Multiple myeloma and immunoproliferative neoplasms",6
"  Leukemia",361
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",112
Anemias,126
"Diabetes mellitus",887
"Nutritional deficiencies",22
Obesity,425
"Parkinson disease",2
"Alzheimer disease",2
"Major cardiovascular diseases",4401
"  Diseases of heart",3495
"  Essential hypertension and hypertensive renal disease",125
"  Cerebrovascular diseases",585
"  Atherosclerosis",6
"  Aortic aneurysm and dissection",121
"Influenza and pneumonia",464
"Chronic lower respiratory diseases",367
"Pneumonitis due to solids and liquids",110
"Chronic liver disease and cirrhosis",1112
"  Alcoholic liver disease",938
"Cholelithiasis and other disorders of gallbladder",16
"Nephritis, nephrotic syndrome and nephrosis",302
"Pregnancy, childbirth and the puerperium",532
"Certain conditions originating in the perinatal period",5
"Congenital malformations, deformations and chromosomal abnormalities",396
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",1154
"Accidents (unintentional injuries)",24516
"  Motor vehicle accidents",6807
"  Falls",330
"  Accidental discharge of firearms",74
"  Accidental drowning and submersion",451
"  Accidental hanging, strangulation, and suffocation",171
"  Accidental exposure to smoke, fire and flames",154
"  Accidental poisoning and exposure to noxious substances",15595
"Intentional self–harm (suicide)",8059
"  Intentional self–harm (suicide) by poisoning",714
"  Intentional self–harm (suicide) by hanging, strangulation and suffocation",3113
"  Intentional self–harm (suicide) by discharge of firearms",3507
"Assault (homicide)",5341
"  Assault (homicide) by discharge of firearms",4498
"Legal intervention",207
"Complications of medical and surgical care",107
"Dementia-related causes",26
"Drug-induced deaths",16953
"  Drug overdose deaths",16375
"Alcohol-induced deaths",1918
"Injury by firearms",8323
,
35–44,
,
"Cause of death",Number
"All causes",82986
"Enterocolitis due to Clostridium difficile",48
Septicemia,812
"Viral hepatitis",177
"Human immunodeficiency virus (HIV) disease",694
"Malignant neoplasms",10695
"  Malignant neoplasms of lip, oral cavity and pharynx",182
"  Malignant neoplasm of esophagus",233
"  Malignant neoplasm of stomach",430
"  Malignant neoplasms of colon, rectum and anus",1428
"  Malignant neoplasms of liver and intrahepatic bile ducts",319
"  Malignant neoplasm of pancreas",479
"  Malignant neoplasms of trachea, bronchus and lung",771
"  Malignant melanoma of skin",295
"  Malignant neoplasm of breast",1916
"  Malignant neoplasm of cervix uteri",550
"  Malignant neoplasm of ovary",297
"  Malignant neoplasm of prostate",23
"  Malignant neoplasms of kidney and renal pelvis",196
"  Malignant neoplasm of bladder",76
"  Malignant neoplasms of meninges, brain and other parts of central nervous system",794
"  Non-Hodgkin lymphoma",319
"  Multiple myeloma and immunoproliferative neoplasms",97
"  Leukemia",536
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",227
Anemias,209
"Diabetes mellitus",2228
"Nutritional deficiencies",72
Obesity,909
"Parkinson disease",10
"Alzheimer disease",10
"Major cardiovascular diseases",13282
"  Diseases of heart",10499
"  Essential hypertension and hypertensive renal disease",496
"  Cerebrovascular diseases",1741
"  Atherosclerosis",16
"  Aortic aneurysm and dissection",398
"Influenza and pneumonia",951
"Chronic lower respiratory diseases",659
"Pneumonitis due to solids and liquids",210
"Chronic liver disease and cirrhosis",3417
"  Alcoholic liver disease",2653
"Cholelithiasis and other disorders of gallbladder",51
"Nephritis, nephrotic syndrome and nephrosis",761
"Pregnancy, childbirth and the puerperium",398
"Certain conditions originating in the perinatal period",3
"Congenital malformations, deformations and chromosomal abnormalities",434
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",1365
"Accidents (unintentional injuries)",24070
"  Motor vehicle accidents",5397
"  Falls",537
"  Accidental discharge of firearms",57
"  Accidental drowning and submersion",415
"  Accidental hanging, strangulation, and suffocation",224
"  Accidental exposure to smoke, fire and flames",191
"  Accidental poisoning and exposure to noxious substances",16063
"Intentional self–harm (suicide)",7525
"  Intentional self–harm (suicide) by poisoning",958
"  Intentional self–harm (suicide) by hanging, strangulation and suffocation",2782
"  Intentional self–harm (suicide) by discharge of firearms",3187
"Assault (homicide)",3446
"  Assault (homicide) by discharge of firearms",2660
"Legal intervention",153
"Complications of medical and surgical care",199
"Dementia-related causes",48
"Drug-induced deaths",17607
"  Drug overdose deaths",16859
"Alcohol-induced deaths",4614
"Injury by firearms",6071
,
45–54,
,
"Cause of death",Number
"All causes",160393
"Enterocolitis due to Clostridium difficile",134
Septicemia,2176
"Viral hepatitis",623
"Human immunodeficiency virus (HIV) disease",1232
"Malignant neoplasms",35587
"  Malignant neoplasms of lip, oral cavity and pharynx",825
"  Malignant neoplasm of esophagus",1122
"  Malignant neoplasm of stomach",1021
"  Malignant neoplasms of colon, rectum and anus",4887
"  Malignant neoplasms of liver and intrahepatic bile ducts",1488
"  Malignant neoplasm of pancreas",2448
"  Malignant neoplasms of trachea, bronchus and lung",5579
"  Malignant melanoma of skin",607
"  Malignant neoplasm of breast",4627
"  Malignant neoplasm of cervix uteri",846
"  Malignant neoplasm of ovary",1063
"  Malignant neoplasm of prostate",385
"  Malignant neoplasms of kidney and renal pelvis",879
"  Malignant neoplasm of bladder",373
"  Malignant neoplasms of meninges, brain and other parts of central nervous system",1743
"  Non-Hodgkin lymphoma",848
"  Multiple myeloma and immunoproliferative neoplasms",482
"  Leukemia",996
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",533
Anemias,250
"Diabetes mellitus",6348
"Nutritional deficiencies",202
Obesity,1548
"Parkinson disease",70
"Alzheimer disease",116
"Major cardiovascular diseases",38903
"  Diseases of heart",31138
"  Essential hypertension and hypertensive renal disease",1485
"  Cerebrovascular diseases",5153
"  Atherosclerosis",83
"  Aortic aneurysm and dissection",670
"Influenza and pneumonia",2085
"Chronic lower respiratory diseases",3592
"Pneumonitis due to solids and liquids",535
"Chronic liver disease and cirrhosis",8098
"  Alcoholic liver disease",5661
"Cholelithiasis and other disorders of gallbladder",117
"Nephritis, nephrotic syndrome and nephrosis",2269
"Pregnancy, childbirth and the puerperium",15
"Certain conditions originating in the perinatal period",3
"Congenital malformations, deformations and chromosomal abnormalities",707
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",1795
"Accidents (unintentional injuries)",23359
"  Motor vehicle accidents",5280
"  Falls",1206
"  Accidental discharge of firearms",63
"  Accidental drowning and submersion",466
"  Accidental hanging, strangulation, and suffocation",425
"  Accidental exposure to smoke, fire and flames",271
"  Accidental poisoning and exposure to noxious substances",14105
"Intentional self–harm (suicide)",8012
"  Intentional self–harm (suicide) by poisoning",1398
"  Intentional self–harm (suicide) by hanging, strangulation and suffocation",2303
"  Intentional self–harm (suicide) by discharge of firearms",3616
"Assault (homicide)",2053
"  Assault (homicide) by discharge of firearms",1359
"Legal intervention",107
"Complications of medical and surgical care",407
"Dementia-related causes",359
"Drug-induced deaths",15908
"  Drug overdose deaths",15083
"Alcohol-induced deaths",9004
"Injury by firearms",5173
,
55–64,
,
"Cause of death",Number
"All causes",374937
"Enterocolitis due to Clostridium difficile",442
Septicemia,5672
"Viral hepatitis",1726
"Human immunodeficiency virus (HIV) disease",1543
"Malignant neoplasms",111765
"  Malignant neoplasms of lip, oral cavity and pharynx",2708
"  Malignant neoplasm of esophagus",3808
"  Malignant neoplasm of stomach",2068
"  Malignant neoplasms of colon, rectum and anus",10351
"  Malignant neoplasms of liver and intrahepatic bile ducts",7152
"  Malignant neoplasm of pancreas",9047
"  Malignant neoplasms of trachea, bronchus and lung",27511
"  Malignant melanoma of skin",1470
"  Malignant neoplasm of breast",8976
"  Malignant neoplasm of cervix uteri",1018
"  Malignant neoplasm of ovary",2862
"  Malignant neoplasm of prostate",2922
"  Malignant neoplasms of kidney and renal pelvis",2645
"  Malignant neoplasm of bladder",1785
"  Malignant neoplasms of meninges, brain and other parts of central nervous system",3998
"  Non-Hodgkin lymphoma",2556
"  Multiple myeloma and immunoproliferative neoplasms",1793
"  Leukemia",2692
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",1475
Anemias,485
"Diabetes mellitus",15508
"Nutritional deficiencies",662
Obesity,2310
"Parkinson disease",794
"Alzheimer disease",1281
"Major cardiovascular diseases",100807
"  Diseases of heart",80837
"  Essential hypertension and hypertensive renal disease",4143
"  Cerebrovascular diseases",12931
"  Atherosclerosis",340
"  Aortic aneurysm and dissection",1399
"Influenza and pneumonia",5305
"Chronic lower respiratory diseases",18743
"Pneumonitis due to solids and liquids",1580
"Chronic liver disease and cirrhosis",14385
"  Alcoholic liver disease",8805
"Cholelithiasis and other disorders of gallbladder",368
"Nephritis, nephrotic syndrome and nephrosis",5857
"Pregnancy, childbirth and the puerperium",4
"Certain conditions originating in the perinatal period",2
"Congenital malformations, deformations and chromosomal abnormalities",1282
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",3396
"Accidents (unintentional injuries)",24892
"  Motor vehicle accidents",5811
"  Falls",2922
"  Accidental discharge of firearms",51
"  Accidental drowning and submersion",500
"  Accidental hanging, strangulation, and suffocation",859
"  Accidental exposure to smoke, fire and flames",568
"  Accidental poisoning and exposure to noxious substances",11856
"Intentional self–harm (suicide)",8238
"  Intentional self–harm (suicide) by poisoning",1385
"  Intentional self–harm (suicide) by hanging, strangulation and suffocation",1834
"  Intentional self–harm (suicide) by discharge of firearms",4266
"Assault (homicide)",1561
"  Assault (homicide) by discharge of firearms",824
"Legal intervention",61
"Complications of medical and surgical care",894
"Dementia-related causes",3464
"Drug-induced deaths",13873
"  Drug overdose deaths",12896
"Alcohol-induced deaths",13814
"Injury by firearms",5225
,
65–74,
,
"Cause of death",Number
"All causes",555559
"Enterocolitis due to Clostridium difficile",948
Septicemia,8810
"Viral hepatitis",1228
"Human immunodeficiency virus (HIV) disease",767
"Malignant neoplasms",171062
"  Malignant neoplasms of lip, oral cavity and pharynx",3138
"  Malignant neoplasm of esophagus",5192
"  Malignant neoplasm of stomach",2920
"  Malignant neoplasms of colon, rectum and anus",13050
"  Malignant neoplasms of liver and intrahepatic bile ducts",9570
"  Malignant neoplasm of pancreas",14423
"  Malignant neoplasms of trachea, bronchus and lung",45445
"  Malignant melanoma of skin",2063
"  Malignant neoplasm of breast",10568
"  Malignant neoplasm of cervix uteri",828
"  Malignant neoplasm of ovary",3945
"  Malignant neoplasm of prostate",7590
"  Malignant neoplasms of kidney and renal pelvis",4068
"  Malignant neoplasm of bladder",3773
"  Malignant neoplasms of meninges, brain and other parts of central nervous system",5001
"  Non-Hodgkin lymphoma",4991
"  Multiple myeloma and immunoproliferative neoplasms",3629
"  Leukemia",5545
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",3099
Anemias,859
"Diabetes mellitus",23069
"Nutritional deficiencies",1396
Obesity,1883
"Parkinson disease",5276
"Alzheimer disease",7836
"Major cardiovascular diseases",158086
"  Diseases of heart",122421
"  Essential hypertension and hypertensive renal disease",6583
"  Cerebrovascular diseases",24051
"  Atherosclerosis",666
"  Aortic aneurysm and dissection",2215
"Influenza and pneumonia",8603
"Chronic lower respiratory diseases",39238
"Pneumonitis due to solids and liquids",3042
"Chronic liver disease and cirrhosis",10411
"  Alcoholic liver disease",4536
"Cholelithiasis and other disorders of gallbladder",685
"Nephritis, nephrotic syndrome and nephrosis",10938
"Pregnancy, childbirth and the puerperium",–
"Certain conditions originating in the perinatal period",5
"Congenital malformations, deformations and chromosomal abnormalities",653
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",4199
"Accidents (unintentional injuries)",17163
"  Motor vehicle accidents",4132
"  Falls",5388
"  Accidental discharge of firearms",26
"  Accidental drowning and submersion",419
"  Accidental hanging, strangulation, and suffocation",1119
"  Accidental exposure to smoke, fire and flames",614
"  Accidental poisoning and exposure to noxious substances",3055
"Intentional self–harm (suicide)",4867
"  Intentional self–harm (suicide) by poisoning",697
"  Intentional self–harm (suicide) by hanging, strangulation and suffocation",702
"  Intentional self–harm (suicide) by discharge of firearms",3130
"Assault (homicide)",693
"  Assault (homicide) by discharge of firearms",314
"Legal intervention",12
"Complications of medical and surgical care",1414
"Dementia-related causes",18666
"Drug-induced deaths",3982
"  Drug overdose deaths",3557
"Alcohol-induced deaths",7077
"Injury by firearms",3502
,
75–84,
,
"Cause of death",Number
"All causes",688027
"Enterocolitis due to Clostridium difficile",1384
Septicemia,10298
"Viral hepatitis",345
"Human immunodeficiency virus (HIV) disease",223
"Malignant neoplasms",160639
"  Malignant neoplasms of lip, oral cavity and pharynx",2217
"  Malignant neoplasm of esophagus",3852
"  Malignant neoplasm of stomach",2696
"  Malignant neoplasms of colon, rectum and anus",12444
"  Malignant neoplasms of liver and intrahepatic bile ducts",6203
"  Malignant neoplasm of pancreas",12684
"  Malignant neoplasms of trachea, bronchus and lung",41661
"  Malignant melanoma of skin",2067
"  Malignant neoplasm of breast",8810
"  Malignant neoplasm of cervix uteri",468
"  Malignant neoplasm of ovary",3389
"  Malignant neoplasm of prostate",10487
"  Malignant neoplasms of kidney and renal pelvis",3679
"  Malignant neoplasm of bladder",5331
"  Malignant neoplasms of meninges, brain and other parts of central nervous system",3286
"  Non-Hodgkin lymphoma",6540
"  Multiple myeloma and immunoproliferative neoplasms",4297
"  Leukemia",7087
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",4793
Anemias,1221
"Diabetes mellitus",22185
"Nutritional deficiencies",2778
Obesity,952
"Parkinson disease",14902
"Alzheimer disease",33566
"Major cardiovascular diseases",213880
"  Diseases of heart",158287
"  Essential hypertension and hypertensive renal disease",8670
"  Cerebrovascular diseases",40592
"  Atherosclerosis",1076
"  Aortic aneurysm and dissection",2658
"Influenza and pneumonia",12332
"Chronic lower respiratory diseases",50791
"Pneumonitis due to solids and liquids",5064
"Chronic liver disease and cirrhosis",5144
"  Alcoholic liver disease",1266
"Cholelithiasis and other disorders of gallbladder",1051
"Nephritis, nephrotic syndrome and nephrosis",14720
"Pregnancy, childbirth and the puerperium",–
"Certain conditions originating in the perinatal period",–
"Congenital malformations, deformations and chromosomal abnormalities",417
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",5576
"Accidents (unintentional injuries)",18438
"  Motor vehicle accidents",2953
"  Falls",10565
"  Accidental discharge of firearms",29
"  Accidental drowning and submersion",273
"  Accidental hanging, strangulation, and suffocation",1286
"  Accidental exposure to smoke, fire and flames",406
"  Accidental poisoning and exposure to noxious substances",477
"Intentional self–harm (suicide)",2977
"  Intentional self–harm (suicide) by poisoning",332
"  Intentional self–harm (suicide) by hanging, strangulation and suffocation",247
"  Intentional self–harm (suicide) by discharge of firearms",2244
"Assault (homicide)",274
"  Assault (homicide) by discharge of firearms",114
"Legal intervention",7
"Complications of medical and surgical care",1291
"Dementia-related causes",71646
"Drug-induced deaths",825
"  Drug overdose deaths",672
"Alcohol-induced deaths",2020
"Injury by firearms",2401
,
"85 and over",
,
"Cause of death",Number
"All causes",873746
"Enterocolitis due to Clostridium difficile",1552
Septicemia,9919
"Viral hepatitis",134
"Human immunodeficiency virus (HIV) disease",39
"Malignant neoplasms",103761
"  Malignant neoplasms of lip, oral cavity and pharynx",1352
"  Malignant neoplasm of esophagus",1699
"  Malignant neoplasm of stomach",1811
"  Malignant neoplasms of colon, rectum and anus",10464
"  Malignant neoplasms of liver and intrahepatic bile ducts",3051
"  Malignant neoplasm of pancreas",6743
"  Malignant neoplasms of trachea, bronchus and lung",18577
"  Malignant melanoma of skin",1457
"  Malignant neoplasm of breast",7406
"  Malignant neoplasm of cervix uteri",251
"  Malignant neoplasm of ovary",1782
"  Malignant neoplasm of prostate",10223
"  Malignant neoplasms of kidney and renal pelvis",2430
"  Malignant neoplasm of bladder",5441
"  Malignant neoplasms of meninges, brain and other parts of central nervous system",1381
"  Non-Hodgkin lymphoma",4745
"  Multiple myeloma and immunoproliferative neoplasms",2648
"  Leukemia",5365
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",5128
Anemias,1985
"Diabetes mellitus",17143
"Nutritional deficiencies",6408
Obesity,259
"Parkinson disease",14257
"Alzheimer disease",78688
"Major cardiovascular diseases",338535
"  Diseases of heart",250875
"  Essential hypertension and hypertensive renal disease",15001
"  Cerebrovascular diseases",64550
"  Atherosclerosis",2225
"  Aortic aneurysm and dissection",2408
"Influenza and pneumonia",19464
"Chronic lower respiratory diseases",43217
"Pneumonitis due to solids and liquids",8588
"Chronic liver disease and cirrhosis",1751
"  Alcoholic liver disease",222
"Cholelithiasis and other disorders of gallbladder",1559
