"Table 10. Age-adjusted death rates for selected causes, by sex: United States, 2019",
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",8.5
"Accidents (unintentional injuries)",49.3
"  Motor vehicle accidents",11.5
"  Falls",9.8
"  Accidental discharge of firearms",0.2
"  Accidental drowning and submersion",1.1
"  Accidental hanging, strangulation, and suffocation",1.9
"  Accidental exposure to smoke, fire and flames",0.7
"  Accidental poisoning and exposure to noxious substances",20.2
"Intentional self–harm (suicide)",13.9
"  Intentional self–harm (suicide) by poisoning",1.8
"  Intentional self–harm (suicide) by hanging, strangulation and suffocation",4.2
"  Intentional self–harm (suicide) by discharge of firearms",6.8
"Assault (homicide)",6
"  Assault (homicide) by discharge of firearms",4.6
"Legal intervention",0.2
"Complications of medical and surgical care",1.3
"Dementia-related causes",66.6
"Drug-induced deaths",22.8
"  Drug overdose deaths",21.6
"Alcohol-induced deaths",10.4
"Injury by firearms",11.9
,
Male,
,
"Cause of death","Age-adjusted death rate"
"All causes",846.7
"Enterocolitis due to Clostridium difficile",1.1
Septicemia,10.7
"Viral hepatitis",1.4
"Human immunodeficiency virus (HIV) disease",2.1
"Malignant neoplasms",172.9
"  Malignant neoplasms of lip, oral cavity and pharynx",3.9
"  Malignant neoplasm of esophagus",6.8
"  Malignant neoplasm of stomach",3.7
"  Malignant neoplasms of colon, rectum and anus",15.5
"  Malignant neoplasms of liver and intrahepatic bile ducts",9.6
"  Malignant neoplasm of pancreas",12.7
"  Malignant neoplasms of trachea, bronchus and lung",40.1
"  Malignant melanoma of skin",3
"  Malignant neoplasm of breast",0.2
"  Malignant neoplasm of cervix uteri",…
"  Malignant neoplasm of ovary",…
"  Malignant neoplasm of prostate",18.3
"  Malignant neoplasms of kidney and renal pelvis",5
"  Malignant neoplasm of bladder",7
"  Malignant neoplasms of meninges, brain and other parts of central nervous system",5.3
"  Non-Hodgkin lymphoma",6.5
"  Multiple myeloma and immunoproliferative neoplasms",4
"  Leukemia",7.7
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",4.9
Anemias,1.4
"Diabetes mellitus",27.3
"Nutritional deficiencies",2.6
Obesity,2.5
"Parkinson disease",13.1
"Alzheimer disease",23.9
"Major cardiovascular diseases",259.1
"  Diseases of heart",204.8
"  Essential hypertension and hypertensive renal disease",9.5
"  Cerebrovascular diseases",37.6
"  Atherosclerosis",1.2
"  Aortic aneurysm and dissection",3.3
"Influenza and pneumonia",14.4
"Chronic lower respiratory diseases",41.6
"Pneumonitis due to solids and liquids",6.5
"Chronic liver disease and cirrhosis",15.1
"  Alcoholic liver disease",9
"Cholelithiasis and other disorders of gallbladder",1.1
"Nephritis, nephrotic syndrome and nephrosis",15.4
"Pregnancy, childbirth and the puerperium",…
"Certain conditions originating in the perinatal period",4.2
"Congenital malformations, deformations and chromosomal abnormalities",3.3
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",9.3
"Accidents (unintentional injuries)",68.3
"  Motor vehicle accidents",16.7
"  Falls",12
"  Accidental discharge of firearms",0.3
"  Accidental drowning and submersion",1.7
"  Accidental hanging, strangulation, and suffocation",2.5
"  Accidental exposure to smoke, fire and flames",0.9
"  Accidental poisoning and exposure to noxious substances",28.6
"Intentional self–harm (suicide)",22.4
"  Intentional self–harm (suicide) by poisoning",1.8
"  Intentional self–harm (suicide) by hanging, strangulation and suffocation",6.6
"  Intentional self–harm (suicide) by discharge of firearms",12.3
"Assault (homicide)",9.6
"  Assault (homicide) by discharge of firearms",7.7
"Legal intervention",0.4
"Complications of medical and surgical care",1.6
"Dementia-related causes",56.6
"Drug-induced deaths",31.1
"  Drug overdose deaths",29.6
"Alcohol-induced deaths",15.2
"Injury by firearms",20.7
,
Female,
,
"Cause of death","Age-adjusted death rate"
"All causes",602.7
"Enterocolitis due to Clostridium difficile",1.1
Septicemia,8.6
"Viral hepatitis",0.7
"Human immunodeficiency virus (HIV) disease",0.7
"Malignant neoplasms",126.2
"  Malignant neoplasms of lip, oral cavity and pharynx",1.4
"  Malignant neoplasm of esophagus",1.4
"  Malignant neoplasm of stomach",2
"  Malignant neoplasms of colon, rectum and anus",11.1
"  Malignant neoplasms of liver and intrahepatic bile ducts",4.1
"  Malignant neoplasm of pancreas",9.6
"  Malignant neoplasms of trachea, bronchus and lung",28.2
"  Malignant melanoma of skin",1.3
"  Malignant neoplasm of breast",19.4
"  Malignant neoplasm of cervix uteri",2.1
"  Malignant neoplasm of ovary",6
"  Malignant neoplasm of prostate",…
"  Malignant neoplasms of kidney and renal pelvis",2.1
"  Malignant neoplasm of bladder",2
"  Malignant neoplasms of meninges, brain and other parts of central nervous system",3.5
"  Non-Hodgkin lymphoma",3.8
"  Multiple myeloma and immunoproliferative neoplasms",2.5
"  Leukemia",4.3
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",3.1
Anemias,1.3
"Diabetes mellitus",16.9
"Nutritional deficiencies",2.9
Obesity,2
"Parkinson disease",5.8
"Alzheimer disease",33.6
"Major cardiovascular diseases",175.3
"  Diseases of heart",126.2
"  Essential hypertension and hypertensive renal disease",8.3
"  Cerebrovascular diseases",35.8
"  Atherosclerosis",0.9
"  Aortic aneurysm and dissection",1.8
"Influenza and pneumonia",10.7
"Chronic lower respiratory diseases",35.7
"Pneumonitis due to solids and liquids",3.5
"Chronic liver disease and cirrhosis",8
"  Alcoholic liver disease",3.9
"Cholelithiasis and other disorders of gallbladder",0.8
"Nephritis, nephrotic syndrome and nephrosis",10.7
"Pregnancy, childbirth and the puerperium",0.7
"Certain conditions originating in the perinatal period",3.4
"Congenital malformations, deformations and chromosomal abnormalities",2.9
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",7.6
"Accidents (unintentional injuries)",31.3
"  Motor vehicle accidents",6.5
"  Falls",8
"  Accidental discharge of firearms",0
"  Accidental drowning and submersion",0.5
"  Accidental hanging, strangulation, and suffocation",1.5
"  Accidental exposure to smoke, fire and flames",0.5
"  Accidental poisoning and exposure to noxious substances",11.9
"Intentional self–harm (suicide)",6
"  Intentional self–harm (suicide) by poisoning",1.7
"  Intentional self–harm (suicide) by hanging, strangulation and suffocation",1.8
"  Intentional self–harm (suicide) by discharge of firearms",1.8
"Assault (homicide)",2.4
"  Assault (homicide) by discharge of firearms",1.4
"Legal intervention",0
"Complications of medical and surgical care",1.1
"Dementia-related causes",72.6
"Drug-induced deaths",14.5
"  Drug overdose deaths",13.7
"Alcohol-induced deaths",5.9
"Injury by firearms",3.4
