"Diagnosis group","Primary care offices"
"Open wound of hand and fingers",582
"Other open wound",1494
"Superficial injuries of cornea",*
"Other superficial injury",1915
"Contusion with intact skin surface",2584
"Other injuries",3218
Poisonings,*
"Other and unspecified effects of external causes",1626
"Complications of surgical and medical care, not elsewhere classified",*
"Supplementary classification of factors influencing health status and contact with health services",131567
"Potential health hazards related to communicable diseases",3624
"Potential health hazards related to personal and family history",4929
"Routine infant or child health check",39364
"Normal pregnancy",18168
"Postpartum care and examination",2144
"Encounter for contraceptive management",2698
"Other encounter related to reproduction",2557
"Lens replaced by pseudophakos",–
"Artificial opening status and other postsurgical states",1457
"Attention to dressings and sutures",831
"Follow-up examination",4500
"General medical examination",12948
"Observation and evaluation for suspected conditions not found",3356
"Gynecological examination",14510
"Other factors influencing health status and contact with health services",20480
"Blank and illegible",12903
