"Table 7. Annual number and percent distribution of ambulatory care visits, by setting type according to diagnosis group: United States, 2006–2007",
"Anal and rectal diseases",2060
"Disorder of gallbladder and biliary tract",2206
"Gastrointestinal hemorrhage",1163
"Other diseases of the digestive system",14889
"Diseases of the genitourinary system",48140
"Calculus of kidney and ureter",2397
"Cystitis and other disorders of the bladder",2187
"Urinary tract infection, site not specified",8334
"Other diseases of the urinary system",6526
"Hyperplasia of prostate",3232
"Other disorders of male genital organs",3800
"Disorders of the breast",3548
"Inflammatory disease of female pelvic organs",2788
"Noninflammatory disorders of the female genital organs",3667
"Disorders of menstruation and abnormal bleeding",4083
"Menopausal and postmenopausal disorders",2070
"Other disorders of female genital tract",5510
"Complications of pregnancy, childbirth, and the puerperium",8437
"Diseases of the skin and subcutaneous tissue",51821
"Cellulitis and abscess",8083
"Other infection of the skin and subcutaneous tissue",2336
"Contact dermatitis and other eczema",9759
"Psoriasis and similar disorders",2020
"Other inflammatory conditions of skin and subcutaneous tissue",5588
"Corns, callosities, other hypertrophic and atrophic skin conditions",2068
"Actinic and seborrheic keratosis",6079
Acne,4443
"Sebaceous cyst",2091
Urticaria,1439
"Other disorders of the skin and subcutaneous tissue",7914
"Diseases of the musculoskeletal system and connective tissue",91953
"Rheumatoid arthritis",2899
"Osteoarthrosis and allied disorders",12392
"Other arthropathies and related disorders",5323
"Derangements and other unspecified disorders of joints",13522
"Intervertebral disc disorders",6069
Lumbago,6863
"Other dorsopathies",17688
"Peripheral enthesopathies",6724
"Synovitis and tenosynovitis",1887
"Myalgia and myositis, unspecified",2694
"Other rheumatism,excluding back",9824
"Disorders of bone and cartilage",4219
"Other diseases of the musculoskeletal system and connective tissue",1846
"Congenital anomalies",3234
"Certain conditions originating in the perinatal period",1293
"Symptoms, signs, and ill-defined conditions",88564
"Syncope and collapse",2399
Convulsions,2361
"Dizziness and giddiness",3591
"Pyrexia of unknown origin",3246
"Symptoms involving skin and other integumentary tissue",7265
Headache,5136
Epistaxis,1306
"Abnormal heart sounds",1897
"Dyspnea and respiratory abnormalities",3352
Cough,3862
"Chest pain",8645
"Symptoms involving the urinary system",5160
"Abdominal pain",12574
"Other symptoms, signs and ill-defined conditions",27770
"Injury and poisoning",79978
"Fracture of radius and ulna",2240
"Fracture of hand and fingers",2923
"Fracture of lower limb",5038
"Other fractures",3568
"Sprains and strains of wrist and hand",1635
"Sprains and strains of knee and leg",2516
"Sprains and strains of ankle",3235
"Sprains and strains of neck",2239
"Other sprains and strains of back",5332
"Other sprains and strains",6867
"Intracranial injury, excluding those with skull fracture",608
"Open wound of head",3230
"Open wound of hand and fingers",3286
"Other open wound",4706
"Superficial injuries of cornea",692
"Other superficial injury",3612
"Contusion with intact skin surface",9620
"Other injuries",10892
Poisonings,1367
"Other and unspecified effects of external causes",4299
"Complications of surgical and medical care, not elsewhere classified",2073
"Supplementary classification of factors influencing health status and contact with health services",212607
"Potential health hazards related to communicable diseases",6136
"Potential health hazards related to personal and family history",11112
"Routine infant or child health check",43180
"Normal pregnancy",21396
"Postpartum care and examination",2400
"Encounter for contraceptive management",3428
"Other encounter related to reproduction",3211
"Lens replaced by pseudophakos",1590
"Artificial opening status and other postsurgical states",7246
"Attention to dressings and sutures",2165
"Follow-up examination",17295
"General medical examination",18007
"Observation and evaluation for suspected conditions not found",7592
"Gynecological examination",15779
"Other factors influencing health status and contact with health services",52071
"Blank and illegible",25226
,
,
,
,
"Diagnosis group","Percent distribution"
"All visits",100
"Infectious and parasitic diseases",2.6
"Streptococcal sore throat",0.4
"Human immunodeficiency virus disease (HIV)",0.1
"Viral warts",0.2
"Unspecified viral and chlamydial infection",0.5
Dermatophytosis,0.2
Candidiasis,0.1
"Other infectious and parasitic diseases",0.9
Neoplasms,3.2
"Malignant neoplasms of colon and rectum",0.2
"Malignant neoplasm of skin",0.4
"Malignant neoplasm of breast",0.4
"Malignant neoplasm of prostate",0.3
"Malignant neoplasm of lymphatic and hematopoietic tissue",0.3
"Other malignant neoplasms",0.7
"Benign neoplasm of skin",0.3
"Other benign neoplasm",0.4
"Neoplasm of uncertain behavior and unspecified nature",0.2
"Endocrine, nutritional and metabolic diseases, and immunity disorders",4.9
"Acquired hypothyroidism",0.3
"Other disorders of thyroid gland",0.2
"Diabetes mellitus",2.4
"Disorders of lipoid metabolism",0.9
Obesity,0.5
"Other endocrine, nutritional and metabolic diseases, and immunity disorders",0.6
"Diseases of the blood and blood-forming organs",0.6
Anemias,0.5
"Other diseases of the blood and blood-forming organs",0.2
"Mental disorders",5
"Schizophrenic disorders",0.2
"Major depressive disorder",0.7
"Other psychoses",0.8
"Anxiety states",0.6
"Neurotic depression",0.4
"Alcohol dependence syndrome",0
"Drug dependence and nondependent abuse of drugs",0.2
"Acute reaction to stress and adjustment reaction",0.3
"Depressive disorder, not elsewhere classified",0.7
"Attention deficit disorder",0.6
"Other mental disorders",0.4
"Diseases of the nervous system and sense organs",8.9
Migraine,0.5
"Other disorders of the central nervous system",1.1
"Carpal tunnel syndrome",0.2
"Other disorders of the peripheral nervous system",0.3
"Retinal detachment and other retinal disorders",0.4
Glaucoma,0.9
Cataract,0.9
"Disorders of refraction and accommodation",0.3
Conjunctivitis,0.5
"Disorder of eyelids",0.2
"Other disorders of the eye and adnexa",1.1
"Disorders of external ear",0.4
"Otitis media and eustachian tube disorders",1.5
"Other disorders of the ear and mastoid process",0.6
"Diseases of the circulatory system",7.5
"Angina pectoris",0.1
"Coronary atherosclerosis",0.8
"Other ischemic heart disease",0.2
"Cardiac dysrhythmias",0.6
"Congestive heart failure",0.3
"Other heart disease",0.5
"Essential hypertension",3.7
"Cerebrovascular disease",0.3
"Diseases of the arteries, arterioles and capillaries",0.3
Hemorrhoids,0.2
"Other diseases of the circulatory system",0.5
"Diseases of the respiratory system",10.9
"Acute sinusitis",0.4
"Acute pharyngitis",1
"Acute tonsillitis",0.2
"Acute bronchitis and bronchiolitis",0.4
"Other acute respiratory infections",2.4
"Chronic sinusitis",1.2
"Allergic rhinitis",1.1
Pneumonia,0.4
"Chronic and unspecified bronchitis",1
Asthma,1.3
"Other chronic obstructive pulmonary disease and allied conditions",0.5
"Other diseases of the respiratory system",1
"Diseases of the digestive system",3.8
"Diseases of the teeth and supporting structures",0.3
"Gastritis and duodenitis",0.2
Esophagitis,0
"Ulcer of stomach and small intestine",0.1
"Hernia of abdominal cavity",0.3
"Noninfectious enteritis and colitis",0.5
"Diverticula of intestine",0.2
Constipation,0.3
"Irritable bowel syndrome",0.1
"Anal and rectal diseases",0.2
"Disorder of gallbladder and biliary tract",0.2
"Gastrointestinal hemorrhage",0.1
"Other diseases of the digestive system",1.3
"Diseases of the genitourinary system",4.1
"Calculus of kidney and ureter",0.2
"Cystitis and other disorders of the bladder",0.2
"Urinary tract infection, site not specified",0.7
"Other diseases of the urinary system",0.6
"Hyperplasia of prostate",0.3
"Other disorders of male genital organs",0.3
"Disorders of the breast",0.3
"Inflammatory disease of female pelvic organs",0.2
"Noninflammatory disorders of the female genital organs",0.3
"Disorders of menstruation and abnormal bleeding",0.4
"Menopausal and postmenopausal disorders",0.2
"Other disorders of female genital tract",0.5
"Complications of pregnancy, childbirth, and the puerperium",0.7
"Diseases of the skin and subcutaneous tissue",4.5
"Cellulitis and abscess",0.7
"Other infection of the skin and subcutaneous tissue",0.2
"Contact dermatitis and other eczema",0.8
"Psoriasis and similar disorders",0.2
"Other inflammatory conditions of skin and subcutaneous tissue",0.5
"Corns, callosities, other hypertrophic and atrophic skin conditions",0.2
"Actinic and seborrheic keratosis",0.5
Acne,0.4
"Sebaceous cyst",0.2
Urticaria,0.1
"Other disorders of the skin and subcutaneous tissue",0.7
"Diseases of the musculoskeletal system and connective tissue",7.9
"Rheumatoid arthritis",0.2
"Osteoarthrosis and allied disorders",1.1
"Other arthropathies and related disorders",0.5
"Derangements and other unspecified disorders of joints",1.2
"Intervertebral disc disorders",0.5
Lumbago,0.6
"Other dorsopathies",1.5
"Peripheral enthesopathies",0.6
"Synovitis and tenosynovitis",0.2
"Myalgia and myositis, unspecified",0.2
"Other rheumatism,excluding back",0.8
"Disorders of bone and cartilage",0.4
"Other diseases of the musculoskeletal system and connective tissue",0.2
"Congenital anomalies",0.3
"Certain conditions originating in the perinatal period",0.1
"Symptoms, signs, and ill-defined conditions",7.6
"Syncope and collapse",0.2
Convulsions,0.2
"Dizziness and giddiness",0.3
"Pyrexia of unknown origin",0.3
"Symptoms involving skin and other integumentary tissue",0.6
Headache,0.4
Epistaxis,0.1
"Abnormal heart sounds",0.2
"Dyspnea and respiratory abnormalities",0.3
Cough,0.3
"Chest pain",0.7
"Symptoms involving the urinary system",0.4
"Abdominal pain",1.1
"Other symptoms, signs and ill-defined conditions",2.4
"Injury and poisoning",6.9
"Fracture of radius and ulna",0.2
"Fracture of hand and fingers",0.3
"Fracture of lower limb",0.4
"Other fractures",0.3
"Sprains and strains of wrist and hand",0.1
"Sprains and strains of knee and leg",0.2
"Sprains and strains of ankle",0.3
"Sprains and strains of neck",0.2
"Other sprains and strains of back",0.5
"Other sprains and strains",0.6
"Intracranial injury, excluding those with skull fracture",0.1
"Open wound of head",0.3
"Open wound of hand and fingers",0.3
"Other open wound",0.4
"Superficial injuries of cornea",0.1
"Other superficial injury",0.3
"Contusion with intact skin surface",0.8
"Other injuries",0.9
Poisonings,0.1
"Other and unspecified effects of external causes",0.4
"Complications of surgical and medical care, not elsewhere classified",0.2
"Supplementary classification of factors influencing health status and contact with health services",18.3
"Potential health hazards related to communicable diseases",0.5
"Potential health hazards related to personal and family history",1
"Routine infant or child health check",3.7
"Normal pregnancy",1.8
"Postpartum care and examination",0.2
"Encounter for contraceptive management",0.3
"Other encounter related to reproduction",0.3
"Lens replaced by pseudophakos",0.1
"Artificial opening status and other postsurgical states",0.6
"Attention to dressings and sutures",0.2
"Follow-up examination",1.5
"General medical examination",1.6
"Observation and evaluation for suspected conditions not found",0.7
"Gynecological examination",1.4
"Other factors influencing health status and contact with health services",4.5
"Blank and illegible",2.2
,
,
,
,
,
,
,
"Diagnosis group","Primary care offices"
"All visits",551129
"Infectious and parasitic diseases",18232
"Streptococcal sore throat",4003
"Human immunodeficiency virus disease (HIV)",*309
"Viral warts",1232
"Unspecified viral and chlamydial infection",4190
Dermatophytosis,1518
Candidiasis,1125
"Other infectious and parasitic diseases",5855
Neoplasms,5401
"Malignant neoplasms of colon and rectum",*
"Malignant neoplasm of skin",*
"Malignant neoplasm of breast",*415
"Malignant neoplasm of prostate",*
"Malignant neoplasm of lymphatic and hematopoietic tissue",*
"Other malignant neoplasms",912
"Benign neoplasm of skin",600
"Other benign neoplasm",2218
"Neoplasm of uncertain behavior and unspecified nature",*
"Endocrine, nutritional and metabolic diseases, and immunity disorders",36427
"Acquired hypothyroidism",2821
"Other disorders of thyroid gland",912
"Diabetes mellitus",17757
"Disorders of lipoid metabolism",8646
Obesity,3179
"Other endocrine, nutritional and metabolic diseases, and immunity disorders",3111
"Diseases of the blood and blood-forming organs",2995
Anemias,2203
"Other diseases of the blood and blood-forming organs",792
"Mental disorders",17931
"Schizophrenic disorders",*
"Major depressive disorder",*
"Other psychoses",1390
"Anxiety states",3143
"Neurotic depression",1949
"Alcohol dependence syndrome",*
"Drug dependence and nondependent abuse of drugs",515
"Acute reaction to stress and adjustment reaction",596
"Depressive disorder, not elsewhere classified",4764
"Attention deficit disorder",3834
"Other mental disorders",1034
"Diseases of the nervous system and sense organs",29644
Migraine,2386
"Other disorders of the central nervous system",3478
"Carpal tunnel syndrome",643
"Other disorders of the peripheral nervous system",1114
"Retinal detachment and other retinal disorders",*
Glaucoma,*
Cataract,*
"Disorders of refraction and accommodation",*
Conjunctivitis,3462
"Disorder of eyelids",*
"Other disorders of the eye and adnexa",896
"Disorders of external ear",2593
"Otitis media and eustachian tube disorders",11748
"Other disorders of the ear and mastoid process",2579
"Diseases of the circulatory system",46755
"Angina pectoris",*
"Coronary atherosclerosis",2740
"Other ischemic heart disease",*
"Cardiac dysrhythmias",2644
"Congestive heart failure",1328
"Other heart disease",1652
"Essential hypertension",33647
"Cerebrovascular disease",1045
"Diseases of the arteries, arterioles and capillaries",785
Hemorrhoids,507
"Other diseases of the circulatory system",1780
"Diseases of the respiratory system",82726
"Acute sinusitis",3324
"Acute pharyngitis",8934
"Acute tonsillitis",1553
"Acute bronchitis and bronchiolitis",3330
"Other acute respiratory infections",22469
"Chronic sinusitis",9939
"Allergic rhinitis",6059
Pneumonia,2578
"Chronic and unspecified bronchitis",8525
Asthma,7876
"Other chronic obstructive pulmonary disease and allied conditions",3397
"Other diseases of the respiratory system",4742
"Diseases of the digestive system",18118
"Diseases of the teeth and supporting structures",1170
"Gastritis and duodenitis",1375
Esophagitis,*
"Ulcer of stomach and small intestine",*
"Hernia of abdominal cavity",882
"Noninfectious enteritis and colitis",3007
"Diverticula of intestine",734
Constipation,1504
"Irritable bowel syndrome",*
"Anal and rectal diseases",708
"Disorder of gallbladder and biliary tract",*
"Gastrointestinal hemorrhage",*
"Other diseases of the digestive system",7168
"Diseases of the genitourinary system",25128
"Calculus of kidney and ureter",*
"Cystitis and other disorders of the bladder",853
"Urinary tract infection, site not specified",4577
"Other diseases of the urinary system",1466
"Hyperplasia of prostate",857
"Other disorders of male genital organs",1347
"Disorders of the breast",1816
"Inflammatory disease of female pelvic organs",2105
"Noninflammatory disorders of the female genital organs",2626
"Disorders of menstruation and abnormal bleeding",3349
"Menopausal and postmenopausal disorders",1939
"Other disorders of female genital tract",3792
"Complications of pregnancy, childbirth, and the puerperium",5164
"Diseases of the skin and subcutaneous tissue",18998
"Cellulitis and abscess",3840
"Other infection of the skin and subcutaneous tissue",1353
"Contact dermatitis and other eczema",5013
"Psoriasis and similar disorders",*
"Other inflammatory conditions of skin and subcutaneous tissue",2178
"Corns, callosities, other hypertrophic and atrophic skin conditions",595
"Actinic and seborrheic keratosis",*
Acne,843
"Sebaceous cyst",800
Urticaria,539
"Other disorders of the skin and subcutaneous tissue",3146
"Diseases of the musculoskeletal system and connective tissue",35313
"Rheumatoid arthritis",612
"Osteoarthrosis and allied disorders",3772
"Other arthropathies and related disorders",1629
"Derangements and other unspecified disorders of joints",4969
"Intervertebral disc disorders",1546
Lumbago,3648
"Other dorsopathies",7202
"Peripheral enthesopathies",2504
"Synovitis and tenosynovitis",733
"Myalgia and myositis, unspecified",1315
"Other rheumatism,excluding back",4224
"Disorders of bone and cartilage",2434
"Other diseases of the musculoskeletal system and connective tissue",726
"Congenital anomalies",692
"Certain conditions originating in the perinatal period",974
"Symptoms, signs, and ill-defined conditions",40382
"Syncope and collapse",658
Convulsions,498
"Dizziness and giddiness",1897
"Pyrexia of unknown origin",1358
"Symptoms involving skin and other integumentary tissue",4115
Headache,2147
Epistaxis,*
"Abnormal heart sounds",536
"Dyspnea and respiratory abnormalities",1122
Cough,2592
"Chest pain",2786
"Symptoms involving the urinary system",2406
"Abdominal pain",5010
"Other symptoms, signs and ill-defined conditions",14858
"Injury and poisoning",21779
"Fracture of radius and ulna",*
"Fracture of hand and fingers",*
"Fracture of lower limb",*
"Other fractures",*
"Sprains and strains of wrist and hand",*
"Sprains and strains of knee and leg",728
"Sprains and strains of ankle",928
"Sprains and strains of neck",684
"Other sprains and strains of back",2222
"Other sprains and strains",1907
"Intracranial injury, excluding those with skull fracture",*
"Open wound of head",*
"Open wound of hand and fingers",582
"Other open wound",1494
"Superficial injuries of cornea",*
"Other superficial injury",1915
"Contusion with intact skin surface",2584
"Other injuries",3218
Poisonings,*
"Other and unspecified effects of external causes",1626
"Complications of surgical and medical care, not elsewhere classified",*
"Supplementary classification of factors influencing health status and contact with health services",131567
"Potential health hazards related to communicable diseases",3624
"Potential health hazards related to personal and family history",4929
"Routine infant or child health check",39364
"Normal pregnancy",18168
"Postpartum care and examination",2144
"Encounter for contraceptive management",2698
"Other encounter related to reproduction",2557
"Lens replaced by pseudophakos",–
"Artificial opening status and other postsurgical states",1457
"Attention to dressings and sutures",831
"Follow-up examination",4500
"General medical examination",12948
"Observation and evaluation for suspected conditions not found",3356
"Gynecological examination",14510
"Other factors influencing health status and contact with health services",20480
"Blank and illegible",12903
,
,
"Diagnosis group","Surgical specialty offices"
"All visits",187146
"Infectious and parasitic diseases",1104
"Streptococcal sore throat",*
"Human immunodeficiency virus disease (HIV)",–
"Viral warts",*
"Unspecified viral and chlamydial infection",*
Dermatophytosis,*
Candidiasis,*
"Other infectious and parasitic diseases",864
Neoplasms,7921
"Malignant neoplasms of colon and rectum",*406
"Malignant neoplasm of skin",457
"Malignant neoplasm of breast",653
"Malignant neoplasm of prostate",2054
"Malignant neoplasm of lymphatic and hematopoietic tissue",*
"Other malignant neoplasms",1946
"Benign neoplasm of skin",*
"Other benign neoplasm",1380
"Neoplasm of uncertain behavior and unspecified nature",*580
"Endocrine, nutritional and metabolic diseases, and immunity disorders",6491
"Acquired hypothyroidism",*
"Other disorders of thyroid gland",354
"Diabetes mellitus",4463
"Disorders of lipoid metabolism",*
Obesity,"*1,149"
"Other endocrine, nutritional and metabolic diseases, and immunity disorders",390
"Diseases of the blood and blood-forming organs",*
Anemias,*
"Other diseases of the blood and blood-forming organs",*
"Mental disorders",*
"Schizophrenic disorders",–
"Major depressive disorder",–
"Other psychoses",*
"Anxiety states",–
"Neurotic depression",–
"Alcohol dependence syndrome",–
"Drug dependence and nondependent abuse of drugs",*
"Acute reaction to stress and adjustment reaction",–
"Depressive disorder, not elsewhere classified",–
"Attention deficit disorder",–
"Other mental disorders",*
"Diseases of the nervous system and sense organs",49975
Migraine,*757
"Other disorders of the central nervous system",1081
"Carpal tunnel syndrome",832
"Other disorders of the peripheral nervous system",550
"Retinal detachment and other retinal disorders",4916
Glaucoma,9879
Cataract,9800
"Disorders of refraction and accommodation",2744
Conjunctivitis,982
"Disorder of eyelids",1866
"Other disorders of the eye and adnexa",9577
"Disorders of external ear",1580
"Otitis media and eustachian tube disorders",2319
"Other disorders of the ear and mastoid process",3092
"Diseases of the circulatory system",4384
"Angina pectoris",*
"Coronary atherosclerosis",*
"Other ischemic heart disease",–
"Cardiac dysrhythmias",*
"Congestive heart failure",–
"Other heart disease",*
"Essential hypertension",*
"Cerebrovascular disease",569
"Diseases of the arteries, arterioles and capillaries","*1,233"
Hemorrhoids,*635
"Other diseases of the circulatory system","*1,446"
"Diseases of the respiratory system",6604
"Acute sinusitis",*
"Acute pharyngitis",*
"Acute tonsillitis",*
"Acute bronchitis and bronchiolitis",*
"Other acute respiratory infections",227
"Chronic sinusitis",1391
"Allergic rhinitis",1142
Pneumonia,–
"Chronic and unspecified bronchitis",*
Asthma,*
"Other chronic obstructive pulmonary disease and allied conditions",*
"Other diseases of the respiratory system",3182
"Diseases of the digestive system",6336
"Diseases of the teeth and supporting structures",*539
"Gastritis and duodenitis",*
Esophagitis,*
"Ulcer of stomach and small intestine",*
"Hernia of abdominal cavity",2175
"Noninfectious enteritis and colitis",*
"Diverticula of intestine",*
Constipation,*
"Irritable bowel syndrome",*
"Anal and rectal diseases",*510
"Disorder of gallbladder and biliary tract",1207
"Gastrointestinal hemorrhage",*
"Other diseases of the digestive system",1296
"Diseases of the genitourinary system",10452
"Calculus of kidney and ureter",1180
"Cystitis and other disorders of the bladder",1021
"Urinary tract infection, site not specified",716
"Other diseases of the urinary system",1909
"Hyperplasia of prostate",2181
"Other disorders of male genital organs",1689
"Disorders of the breast",1092
"Inflammatory disease of female pelvic organs",*
"Noninflammatory disorders of the female genital organs",*
"Disorders of menstruation and abnormal bleeding",*
"Menopausal and postmenopausal disorders",*
"Other disorders of female genital tract",502
"Complications of pregnancy, childbirth, and the puerperium",*
"Diseases of the skin and subcutaneous tissue",2898
"Cellulitis and abscess",455
"Other infection of the skin and subcutaneous tissue",*
"Contact dermatitis and other eczema",*
"Psoriasis and similar disorders",*
"Other inflammatory conditions of skin and subcutaneous tissue",*
"Corns, callosities, other hypertrophic and atrophic skin conditions",*443
"Actinic and seborrheic keratosis",*
Acne,*
"Sebaceous cyst",629
Urticaria,*
"Other disorders of the skin and subcutaneous tissue",790
"Diseases of the musculoskeletal system and connective tissue",28423
"Rheumatoid arthritis",*
"Osteoarthrosis and allied disorders",6336
"Other arthropathies and related disorders",1612
"Derangements and other unspecified disorders of joints",4977
"Intervertebral disc disorders",3224
Lumbago,825
"Other dorsopathies",3692
"Peripheral enthesopathies",3037
"Synovitis and tenosynovitis",962
"Myalgia and myositis, unspecified",*
"Other rheumatism,excluding back",2161
"Disorders of bone and cartilage",845
"Other diseases of the musculoskeletal system and connective tissue",703
"Congenital anomalies",1073
"Certain conditions originating in the perinatal period",–
"Symptoms, signs, and ill-defined conditions",5840
"Syncope and collapse",*
Convulsions,*
"Dizziness and giddiness",399
"Pyrexia of unknown origin",*
"Symptoms involving skin and other integumentary tissue",526
Headache,*
Epistaxis,471
"Abnormal heart sounds",–
"Dyspnea and respiratory abnormalities",*
Cough,*
"Chest pain",*
"Symptoms involving the urinary system",1561
"Abdominal pain",398
"Other symptoms, signs and ill-defined conditions",2080
"Injury and poisoning",18206
"Fracture of radius and ulna",1361
"Fracture of hand and fingers",1269
"Fracture of lower limb",2683
"Other fractures",1543
"Sprains and strains of wrist and hand",*
"Sprains and strains of knee and leg",918
"Sprains and strains of ankle",823
"Sprains and strains of neck",*
"Other sprains and strains of back",*
"Other sprains and strains",2563
"Intracranial injury, excluding those with skull fracture",*
"Open wound of head",*
"Open wound of hand and fingers",*
"Other open wound",389
"Superficial injuries of cornea",*
"Other superficial injury",*
"Contusion with intact skin surface",818
"Other injuries",2856
Poisonings,*
"Other and unspecified effects of external causes",*
"Complications of surgical and medical care, not elsewhere classified",620
"Supplementary classification of factors influencing health status and contact with health services",34145
"Potential health hazards related to communicable diseases",*247
"Potential health hazards related to personal and family history",2213
"Routine infant or child health check",*
"Normal pregnancy",*
"Postpartum care and examination",*
"Encounter for contraceptive management",236
"Other encounter related to reproduction",*
"Lens replaced by pseudophakos",1568
"Artificial opening status and other postsurgical states",4604
"Attention to dressings and sutures",415
"Follow-up examination",8254
"General medical examination",*568
"Observation and evaluation for suspected conditions not found",1294
"Gynecological examination",*
"Other factors influencing health status and contact with health services",14609
"Blank and illegible",2969
,
,
,
,
"Diagnosis group","Medical specialty offices"
"All visits",209864
"Infectious and parasitic diseases",3970
"Streptococcal sore throat",*
"Human immunodeficiency virus disease (HIV)",*
"Viral warts",1180
"Unspecified viral and chlamydial infection",*
Dermatophytosis,*
Candidiasis,*
"Other infectious and parasitic diseases",1705
Neoplasms,19271
"Malignant neoplasms of colon and rectum",1462
"Malignant neoplasm of skin",3666
"Malignant neoplasm of breast",2812
"Malignant neoplasm of prostate",658
"Malignant neoplasm of lymphatic and hematopoietic tissue",2006
"Other malignant neoplasms",4356
"Benign neoplasm of skin",1980
"Other benign neoplasm",928
"Neoplasm of uncertain behavior and unspecified nature",1404
"Endocrine, nutritional and metabolic diseases, and immunity disorders",5485
"Acquired hypothyroidism",*
"Other disorders of thyroid gland",*
"Diabetes mellitus",1746
"Disorders of lipoid metabolism",1221
Obesity,*809
"Other endocrine, nutritional and metabolic diseases, and immunity disorders",1162
"Diseases of the blood and blood-forming organs",2686
Anemias,1964
"Other diseases of the blood and blood-forming organs",722
"Mental disorders",28393
"Schizophrenic disorders",1599
"Major depressive disorder",6282
"Other psychoses",6036
"Anxiety states",2700
"Neurotic depression",1693
"Alcohol dependence syndrome",*
"Drug dependence and nondependent abuse of drugs",*389
"Acute reaction to stress and adjustment reaction",1668
"Depressive disorder, not elsewhere classified",2550
"Attention deficit disorder",2662
"Other mental disorders",2779
"Diseases of the nervous system and sense organs",10816
Migraine,1389
"Other disorders of the central nervous system",5174
"Carpal tunnel syndrome",689
"Other disorders of the peripheral nervous system",1481
"Retinal detachment and other retinal disorders",*
Glaucoma,*
Cataract,–
"Disorders of refraction and accommodation",*
Conjunctivitis,*
"Disorder of eyelids",*
"Other disorders of the eye and adnexa",*774
"Disorders of external ear",*
"Otitis media and eustachian tube disorders",*
"Other disorders of the ear and mastoid process",*
"Diseases of the circulatory system",24785
"Angina pectoris",457
"Coronary atherosclerosis",6234
"Other ischemic heart disease",1348
"Cardiac dysrhythmias",3300
"Congestive heart failure",885
"Other heart disease",3351
"Essential hypertension",5245
"Cerebrovascular disease",865
"Diseases of the arteries, arterioles and capillaries",577
Hemorrhoids,*
"Other diseases of the circulatory system","*1,920"
"Diseases of the respiratory system",16135
"Acute sinusitis",*
"Acute pharyngitis",*
"Acute tonsillitis",–
"Acute bronchitis and bronchiolitis",*
"Other acute respiratory infections",*
"Chronic sinusitis",*
"Allergic rhinitis","*5,310"
Pneumonia,*
"Chronic and unspecified bronchitis",792
