"25–44 years",3429,581
"45–64 years",3202,415
"65–74 years",625,114
"75 years and over",538,104
,,
"Patient age","Number of visits in thousands","Standard error in thousands"
"All female visits",5393,705
"Under 15 years",684,129
"15–24 years",681,127
"25–44 years",1624,278
"45–64 years",1699,234
"65–74 years",332,63
"75 years and over",372,73
,,
"Patient age","Number of visits in thousands","Standard error in thousands"
"All male visits",5606,762
"Under 15 years",837,149
"15–24 years",1002,177
"25–44 years",1805,326
"45–64 years",1503,204
"65–74 years",293,64
"75 years and over",*166,51
,,
"Hospital emergency departments",,
,,
"Patient age","Number of visits in thousands","Standard error in thousands"
"All visits",39395,2155
"Under 15 years",7304,527
"15–24 years",7112,477
"25–44 years",11633,707
"45–64 years",8119,469
"65–74 years",1963,150
"75 years and over",3265,217
,,
"Patient age","Number of visits in thousands","Standard error in thousands"
"All female visits",18449,1028
"Under 15 years",3076,235
"15–24 years",3103,206
"25–44 years",5082,338
"45–64 years",3947,259
"65–74 years",1063,103
"75 years and over",2178,163
,,
"Patient age","Number of visits in thousands","Standard error in thousands"
"All male visits",20946,1174
"Under 15 years",4227,339
"15–24 years",4009,306
"25–44 years",6550,413
"45–64 years",4173,257
"65–74 years",900,85
"75 years and over",1087,90
,,
,,
,,
,,
"Combined settings",,
,,
,,
"Patient age","Number of visits per 100 persons","Standard error of rate"
"All visits",52.9,2.4
"Under 15 years",37.3,2.3
"15–24 years",49.8,3.1
"25–44 years",48.2,2.8
"45–64 years",56.1,3.3
"65–74 years",82.6,6.3
"75 years and over",91.1,6.7
,,
"Patient age","Number of visits per 100 persons","Standard error of rate"
"All female visits",51,2.4
"Under 15 years",31.9,2.7
"15–24 years",38.8,3
"25–44 years",46.3,2.8
"45–64 years",56.8,3.7
"65–74 years",84,7.8
"75 years and over",93.9,7.8
,,
"Patient age","Number of visits per 100 persons","Standard error of rate"
"All male visits",55,2.7
"Under 15 years",42.4,3
"15–24 years",60.7,4.7
"25–44 years",50.2,3.7
"45–64 years",55.5,3.8
"65–74 years",81,7.1
"75 years and over",86.9,7.8
,,
"Primary care offices",,
,,
"Patient age","Number of visits per 100 persons","Standard error of rate"
"All visits",15.2,1.2
"Under 15 years",15.2,1.8
"15–24 years",14.2,1.9
"25–44 years",13.2,1.5
"45–64 years",13.8,1.4
"65–74 years",26,3.5
"75 years and over",22.1,3.9
,,
"Patient age","Number of visits per 100 persons","Standard error of rate"
"All female visits",15.8,1.3
"Under 15 years",13.5,2.1
"15–24 years",12.4,2.3
"25–44 years",14,1.6
"45–64 years",15.8,1.9
"65–74 years",27,4.9
"75 years and over",24.6,4.7
,,
"Patient age","Number of visits per 100 persons","Standard error of rate"
"All male visits",14.7,1.3
"Under 15 years",16.8,2.4
"15–24 years",15.9,2.7
"25–44 years",12.5,2.2
"45–64 years",11.6,1.6
"65–74 years",24.9,4.5
"75 years and over",*,-
,,
"Surgical specialty offices",,
,,
"Patient age","Number of visits per 100 persons","Standard error of rate"
"All visits",11.5,1.3
"Under 15 years",5.7,1.2
"15–24 years",10.4,1.7
"25–44 years",9.5,1.4
"45–64 years",15.6,2.2
"65–74 years",18.7,3
"75 years and over",17.9,2.8
,,
"Patient age","Number of visits per 100 persons","Standard error of rate"
"All female visits",10.7,1.3
"Under 15 years",*4.1,1.5
"15–24 years",5.3,1.1
"25–44 years",8.3,1.5
"45–64 years",15,2.4
"65–74 years",23.9,4.3
"75 years and over",20.1,3.5
,,
"Patient age","Number of visits per 100 persons","Standard error of rate"
"All male visits",12.3,1.5
"Under 15 years",7.1,1.3
"15–24 years",15.5,3
"25–44 years",10.7,1.6
"45–64 years",16.3,2.5
"65–74 years",12.7,2.6
"75 years and over",14.6,3.4
,,
"Medical specialty offices",,
,,
"Patient age","Number of visits per 100 persons","Standard error of rate"
"All visits",9.2,1.1
"Under 15 years",*,-
"15–24 years",4,1
"25–44 years",7.1,1.2
"45–64 years",11.9,1.6
"65–74 years",24.3,3.8
"75 years and over",29,4.8
,,
"Patient age","Number of visits per 100 persons","Standard error of rate"
"All female visits",8.8,1
"Under 15 years",*,-
"15–24 years",*,-
"25–44 years",7.7,1.3
"45–64 years",11.5,1.7
"65–74 years",19.6,3.6
"75 years and over",24.6,4.7
,,
"Patient age","Number of visits per 100 persons","Standard error of rate"
"All male visits",9.7,1.4
"Under 15 years",*,-
"15–24 years",*5.4,1.9
"25–44 years",6.5,1.6
"45–64 years",12.2,2.1
"65–74 years",29.8,5
"75 years and over",35.7,6
,,
"Hospital outpatient departments",,
,,
"Patient age","Number of visits per 100 persons","Standard error of rate"
"All visits",3.7,0.5
"Under 15 years",2.5,0.4
"15–24 years",4.1,0.6
"25–44 years",4.2,0.7
"45–64 years",4.2,0.6
"65–74 years",3.3,0.6
"75 years and over",3.1,0.6
,,
"Patient age","Number of visits per 100 persons","Standard error of rate"
"All female visits",3.6,0.5
"Under 15 years",2.3,0.4
"15–24 years",3.3,0.6
"25–44 years",3.9,0.7
"45–64 years",4.3,0.6
"65–74 years",3.2,0.6
"75 years and over",3.6,0.7
,,
"Patient age","Number of visits per 100 persons","Standard error of rate"
"All male visits",3.9,0.5
"Under 15 years",2.7,0.5
"15–24 years",4.8,0.8
"25–44 years",4.5,0.8
"45–64 years",4.1,0.6
"65–74 years",3.3,0.7
"75 years and over",*2.5,0.8
,,
"Hospital emergency departments",,
,,
"Patient age","Number of visits per 100 persons","Standard error of rate"
"All visits",13.3,0.7
"Under 15 years",12,0.9
"15–24 years",17.1,1.2
"25–44 years",14.2,0.9
"45–64 years",10.7,0.6
"65–74 years",10.3,0.8
"75 years and over",19.1,1.3
,,
"Patient age","Number of visits per 100 persons","Standard error of rate"
"All female visits",12.2,0.7
"Under 15 years",10.4,0.8
"15–24 years",15.1,1
"25–44 years",12.3,0.8
"45–64 years",10.1,0.7
"65–74 years",10.3,1
"75 years and over",21,1.6
,,
"Patient age","Number of visits per 100 persons","Standard error of rate"
"All male visits",14.4,0.8
"Under 15 years",13.6,1.1
"15–24 years",19.1,1.5
"25–44 years",16.2,1
"45–64 years",11.3,0.7
"65–74 years",10.3,1
"75 years and over",16.1,1.3
