"Antianginal agents",0.4,0,,,,,,,,,
"Antiarrhythmic agents",0.6,0.1,,,,,,,,,
"Beta-adrenergic blocking agents",3.3,0.1,,,,,,,,,
"Cardioselective beta blockers",2.5,0.1,,,,,,,,,
"Non-cardioselective beta blockers",0.7,0.1,,,,,,,,,
"Calcium channel blocking agents",1.5,0.1,,,,,,,,,
Diuretics,2.7,0.1,,,,,,,,,
"Loop diuretics",1.3,0.1,,,,,,,,,
"Potassium-sparing diuretics",0.3,0,,,,,,,,,
"Thiazide diuretics",1.2,0.1,,,,,,,,,
"Carbonic anhydrase inhibitors",0,0,,,,,,,,,
"Inotropic agents",0.3,0,,,,,,,,,
"Miscellaneous cardiovascular agents",0,0,,,,,,,,,
Vasodilators,0.4,0,,,,,,,,,
Vasopressors,0.2,0,,,,,,,,,
"Antihypertensive combinations",1.3,0.1,,,,,,,,,
"Angiotensin II inhibitors",1.4,0.1,,,,,,,,,
"Agents for pulmonary hypertension",0.1,0,,,,,,,,,
"Aldosterone receptor antagonists",0.2,0,,,,,,,,,
"Central nervous system agents",22.7,0.5,,,,,,,,,
Analgesics,13.1,0.3,,,,,,,,,
"Miscellaneous analgesics",1.7,0.1,,,,,,,,,
"Narcotic analgesics",1.5,0.1,,,,,,,,,
"Nonsteroidal anti-inflammatory agents",3.6,0.1,,,,,,,,,
Salicylates,2.4,0.1,,,,,,,,,
"Analgesic combinations",0.2,0,,,,,,,,,
"Narcotic analgesic combinations",2.8,0.1,,,,,,,,,
"Antimigraine agents",0.3,0,,,,,,,,,
"Cox-2 inhibitors",0.5,0,,,,,,,,,
Anticonvulsants,3,0.1,,,,,,,,,
"Hydantoin anticonvulsants",0.1,0,,,,,,,,,
"Barbiturate anticonvulsants",0,0,,,,,,,,,
"Benzodiazepine anticonvulsants",1.3,0.1,,,,,,,,,
"Miscellaneous anticonvulsants",*0.0,0,,,,,,,,,
"Dibenzazepine anticonvulsants",0.1,0,,,,,,,,,
"Fatty acid derivative anticonvulsants",0.1,0,,,,,,,,,
"Gamma-aminobutyric acid analogs",0.7,0,,,,,,,,,
"Triazine anticonvulsants",0.2,0,,,,,,,,,
"Pyrrolidine anticonvulsants",0,0,,,,,,,,,
"Carbonic anhydrase inhibitor anticonvulsants",0.2,0,,,,,,,,,
"Antiemetic/antivertigo agents",2.4,0.1,,,,,,,,,
"5HT3 receptor antagonists",0.3,0,,,,,,,,,
"Phenothiazine antiemetics",0.7,0,,,,,,,,,
"Anticholinergic antiemetics",0.6,0,,,,,,,,,
"Miscellaneous antiemetics",0.8,0.1,,,,,,,,,
"Anti-Parkinson agents",0.7,0,,,,,,,,,
"Anticholinergic anti-Parkinson agents",0.4,0,,,,,,,,,
"Dopaminergic anti-Parkinson agents",0.3,0,,,,,,,,,
"Anxiolytics, sedatives, and hypnotics",3.8,0.1,,,,,,,,,
Barbiturates,0,0,,,,,,,,,
Benzodiazepines,2.3,0.1,,,,,,,,,
"Miscellaneous anxiolytics, sedatives and hypnotics",1.5,0.1,,,,,,,,,
"CNS stimulants",0.9,0.1,,,,,,,,,
"General anesthetics",*0.1,0.1,,,,,,,,,
"Muscle relaxants",1.1,0.1,,,,,,,,,
"Neuromuscular blocking agents",*0.0,0,,,,,,,,,
"Skeletal muscle relaxants",1.1,0.1,,,,,,,,,
"Miscellaneous central nervous system agents",0.1,0,,,,,,,,,
"Adrenal cortical steroids",2,0.1,,,,,,,,,
Glucocorticoids,1.9,0.1,,,,,,,,,
"Miscellaneous hormones",0.2,0,,,,,,,,,
"Sex hormones",1.6,0.1,,,,,,,,,
Contraceptives,0.7,0.1,,,,,,,,,
"Androgens and anabolic steroids",0.1,0,,,,,,,,,
Estrogens,0.5,0,,,,,,,,,
Gonadotropins,*0.0,0,,,,,,,,,
Progestins,0.2,0,,,,,,,,,
"Sex hormone combinations",0.1,0,,,,,,,,,
"Miscellaneous sex hormones",0.1,0,,,,,,,,,
"5-alpha-reductase inhibitors",0.2,0,,,,,,,,,
"Thyroid drugs",1.5,0.1,,,,,,,,,
Bisphosphonates,0.7,0.1,,,,,,,,,
"Incretin mimetics",0,0,,,,,,,,,
"Miscellaneous agents",4.4,0.2,,,,,,,,,
Antidotes,0,0,,,,,,,,,
"Chelating agents",0,0,,,,,,,,,
"Local injectable anesthetics",0.6,0.1,,,,,,,,,
"Miscellaneous uncategorized agents",1.8,0.2,,,,,,,,,
"Genitourinary tract agents",0.7,0,,,,,,,,,
"Impotence agents",0.3,0,,,,,,,,,
"Urinary antispasmodics",0.3,0,,,,,,,,,
"Urinary pH modifiers",0,0,,,,,,,,,
"Miscellaneous genitourinary tract agents",0.1,0,,,,,,,,,
Antirheumatics,0.5,0.1,,,,,,,,,
Antipsoriatics,0.2,0,,,,,,,,,
"Smoking cessation agents",0.7,0,,,,,,,,,
"Nutritional products",5.4,0.2,,,,,,,,,
"Iron products",0.3,0.4,,,,,,,,,
"Minerals and electrolytes",1.7,0.1,,,,,,,,,
"Oral nutritional supplements",0,0,,,,,,,,,
Vitamins,1.2,0.1,,,,,,,,,
"Vitamin and mineral combinations",1.2,0.1,,,,,,,,,
"Respiratory agents",9.6,0.4,,,,,,,,,
Antihistamines,2.9,0.1,,,,,,,,,
Antitussives,0.3,0,,,,,,,,,
Bronchodilators,3.1,0.2,,,,,,,,,
Methylxanthines,0.1,0,,,,,,,,,
"Adrenergic bronchodilators",1.9,0.1,,,,,,,,,
"Bronchodilator combinations",0.8,0.1,,,,,,,,,
"Anticholinergic bronchodilators",0.3,0,,,,,,,,,
Decongestants,0.2,0,,,,,,,,,
Expectorants,0.3,0,,,,,,,,,
"Miscellaneous respiratory agents",0.4,0,,,,,,,,,
"Respiratory inhalant products",0.4,0,,,,,,,,,
"Inhaled corticosteroids",0.4,0,,,,,,,,,
"Antiasthmatic combinations",0.1,0,,,,,,,,,
"Upper respiratory combinations",1.1,0.1,,,,,,,,,
"Leukotriene modifiers",0.7,0.1,,,,,,,,,
"Lung surfactants",*0.0,0,,,,,,,,,
"Topical agents",6.6,0.4,,,,,,,,,
"Anorectal preparations",0,0,,,,,,,,,
"Antiseptics and germicides",0.1,0,,,,,,,,,
"Dermatological agents",2.8,0.2,,,,,,,,,
"Topical anti-infectives",0.1,0,,,,,,,,,
"Topical steroids",1,0.1,,,,,,,,,
"Topical anesthetics",0.1,0,,,,,,,,,
"Miscellaneous topical agents",0.5,0.1,,,,,,,,,
"Topical steroids with antiinfectives",0.1,0,,,,,,,,,
"Topical acne agents",0.4,0,,,,,,,,,
"Topical antipsoriatics",0,0,,,,,,,,,
"Topical emollients",0.1,0,,,,,,,,,
"Topical antibiotics",0.2,0,,,,,,,,,
"Topical antifungals",0.3,0,,,,,,,,,
"Topical debriding agents",*0.0,0,,,,,,,,,
"Mouth and throat products",0.1,0,,,,,,,,,
"Ophthalmic preparations",1.9,0.3,,,,,,,,,
"Ophthalmic anti-infectives",0.1,0,,,,,,,,,
"Ophthalmic glaucoma agents",0.7,0.1,,,,,,,,,
"Ophthalmic steroids",0.2,0,,,,,,,,,
"Ophthalmic steroids with anti-infectives",0,0,,,,,,,,,
"Ophthalmic anti-inflammatory agents",0.1,0,,,,,,,,,
"Ophthalmic lubricants and irrigations",0,0,,,,,,,,,
"Miscellaneous ophthalmic agents",0.2,0,,,,,,,,,
"Ophthalmic antihistamines and decongestants",0.2,0,,,,,,,,,
Mydriatics,*0.2,0.1,,,,,,,,,
"Ophthalmic anesthetics",*0.1,0.1,,,,,,,,,
"Ophthalmic diagnostic agents",*0.1,0.1,,,,,,,,,
"Otic preparations",0.1,0,,,,,,,,,
"Miscellaneous otic agents",0.1,0,,,,,,,,,
"Vaginal preparations",0.3,0,,,,,,,,,
Spermicides,*0.0,0,,,,,,,,,
"Vaginal anti-infectives",0.3,0,,,,,,,,,
"Nasal preparations",1.6,0.2,,,,,,,,,
"Nasal steroids",1.5,0.1,,,,,,,,,
"Nasal antihistamines and decongestants",0.1,0,,,,,,,,,
"Alternative medicines",0.7,0.1,,,,,,,,,
"Nutraceutical products",0.5,0,,,,,,,,,
"Herbal products",0.2,0,,,,,,,,,
"Psychotherapeutic agents",5.4,0.2,,,,,,,,,
Antidepressants,4.5,0.2,,,,,,,,,
"Miscellaneous antidepressants",0.6,0,,,,,,,,,
"SSRI antidepressants",2.2,0.1,,,,,,,,,
"Tricyclic antidepressants",0.4,0,,,,,,,,,
"Phenylpiperazine antidepressants",0.4,0,,,,,,,,,
"Tetracyclic antidepressants",0.1,0,,,,,,,,,
"SSNRI antidepressants",0.7,0.1,,,,,,,,,
Antipsychotics,0.9,0.1,,,,,,,,,
"Miscellaneous antipsychotic agents",0.1,0,,,,,,,,,
"Phenothiazine antipsychotics",0.1,0,,,,,,,,,
"Atypical antipsychotics",0.7,0.1,,,,,,,,,
"Immunologic agents",4.2,0.4,,,,,,,,,
"Bacterial vaccines",0.8,0.1,,,,,,,,,
"Immune globulins",0,0,,,,,,,,,
Toxoids,0.7,0.1,,,,,,,,,
"Viral vaccines",2.2,0.2,,,,,,,,,
"Miscellaneous biologicals",*0.2,0.1,,,,,,,,,
"Immunosuppressive agents",0.1,0,,,,,,,,,
Interferons,0,0,,,,,,,,,
"Immunosuppressive monoclonal antibodies",0.1,0,,,,,,,,,
"Radiologic agents",0,0,,,,,,,,,
"Radiocontrast agents",0,0,,,,,,,,,
"Non-ionic iodinated contrast media",*0.0,0,,,,,,,,,
"Ionic iodinated contrast media",0,0,,,,,,,,,
"Radiologic adjuncts",*0.0,0,,,,,,,,,
"Cardiac stressing agents",*0.0,0,,,,,,,,,
"Metabolic agents",8.8,0.3,,,,,,,,,
"Antihyperlipidemic agents",5,0.2,,,,,,,,,
"HMG-CoA reductase inhibitors",3.5,0.1,,,,,,,,,
"Miscellaneous antihyperlipidemic agents",0.2,0,,,,,,,,,
"Fibric acid derivatives",0.3,0,,,,,,,,,
"Bile acid sequestrants",0,0,,,,,,,,,
"Cholesterol absorption inhibitors",0.4,0,,,,,,,,,
"Antihyperlipidemic combinations",0.6,0,,,,,,,,,
"Antidiabetic agents",3.5,0.1,,,,,,,,,
Sulfonylureas,0.8,0,,,,,,,,,
Non-sulfonylureas,1.1,0.1,,,,,,,,,
Insulin,0.7,0,,,,,,,,,
Thiazolidinediones,0.5,0,,,,,,,,,
Meglitinides,0,0,,,,,,,,,
"Antidiabetic combinations",0.2,0,,,,,,,,,
"Dipeptidyl peptidase 4 inhibitors",0,0,,,,,,,,,
"Antigout agents",0.3,0,,,,,,,,,
"Antihyperuricemic agents",0.2,0,,,,,,,,,
"Glucose elevating agents",*0.0,0,,,,,,,,,
"Medical gases",0.1,0,,,,,,,,,
"Pharmaceutical aids",0.3,0.1,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Total,"Primary care offices","Primary care offices","Surgical specialty offices","Surgical specialty offices","Medical specialty offices","Medical specialty offices","Hospital outpatient departments","Hospital outpatient departments","Hospital emergency departments","Hospital emergency departments"
"Therapeutic drug category",,"Percent distribution","Standard error of percent","Percent distribution","Standard error of percent","Percent distribution","Standard error of percent","Percent distribution","Standard error of percent","Percent distribution","Standard error of percent"
"All occurrences",100,47.7,1.9,11.7,1,23.7,1.7,8.4,1.1,8.6,0.5
