"Table 10. Number and percent distribution of emergency department visits with corresponding standard errors, by the 10 leading",,,
"primary diagnosis groups, according to age and sex: United States, 2007",,,
,,,
,"Number of visits in thousands","Standard error in thousands",
"Principal reason","Percent distribution","Standard error of percent",
"All male visits, age under 15 years",54.8,0.9,
"Acute upper respiratory infections, excluding pharyngitis",5.6,0.6,
"Otitis media and Eustachian tube disorders",4.2,0.4,
"Open wound of head",2.9,0.3,
"Contusion with intact skin surface",2.6,0.3,
"Pyrexia of unknown origin",2.4,0.2,
"Open wound, excluding head",1.9,0.2,
Asthma,1.7,0.2,
"Fractures, excluding lower limb",1.6,0.2,
"Unspecified viral and Chlamydia infection",1.6,0.2,
"Acute pharyngitis",1.3,0.2,
"All other diagnoses",28.9,0.9,
,,,
"Principal reason","Percent distribution","Standard error of percent",
"All female visits, age 15–64 years",55.3,0.6,
"Abdominal pain",3.4,0.2,
"Complications of pregnancy, childbirth, and the puerperium",2.3,0.2,
"Chest pain",2,0.2,
"Contusion with intact skin surface",2,0.1,
"Spinal disorders",1.6,0.2,
"Sprains and strains of neck and back",1.5,0.1,
"Acute upper respiratory infections, excluding pharyngitis",1.5,0.1,
"Urinary tract infection, site not specified",1.5,0.1,
"Cellulitis and abscess",1.3,0.1,
"Sprains and strains, excluding ankle and back ",1.2,0.1,
"All other diagnoses",37.1,0.5,
,,,
"Principal reason","Percent distribution","Standard error of percent",
"All male visits, age 15–64 years",44.7,0.6,
"Open wound, excluding head",2.4,0.1,
"Contusion with intact skin surface",1.9,0.1,
"Chest pain",1.8,0.1,
"Cellulitis and abscess",1.5,0.1,
"Spinal disorders",1.4,0.1,
"Sprains and strains, excluding ankle and back",1.3,0.1,
"Abdominal pain",1.3,0.1,
"Sprains and strains of neck and back",1.2,0.1,
"Fractures, excluding lower limb",1.2,0.1,
"Drug dependence and nondependence abuse of drugs",0.9,0.1,
"All other diagnoses",29.8,0.5,
,,,
"Principal reason","Percent distribution","Standard error of percent",
"All female visits, age 65 years and over",60.1,0.8,
"Chest pain",3.3,0.3,
"Contusion with intact skin surface",3.1,0.4,
"Heart disease, excluding ischemic ",3,0.3,
"Urinary tract infection, site not specified",2.2,0.3,
"Abdominal pain",1.8,0.2,
"Fractures, excluding lower limb",1.7,0.2,
"Cerebrovascular disease",1.5,0.2,
"Fracture of the lower limb",1.3,0.2,
Pneumonia,1.3,0.2,
"Spinal disorders",1.3,0.2,
"All other diagnoses",39.5,0.9,
,,,
"Principal reason","Percent distribution","Standard error of percent",
"All male visits, age 65 years and over",39.9,0.8,
"Heart disease, excluding ischemic ",2.6,0.3,
"Chest pain",2.4,0.2,
Pneumonia,1.3,0.2,
"Cellulitis and abscess",1.2,0.2,
"Open wound, excluding head",1.1,0.2,
"Abdominal pain",1,0.2,
"Cerebrovascular disease",1,0.2,
"Syncope and collapse",1,0.2,
"Contusion with intact skin surface",1,0.2,
"Symptoms involving the urinary system",0.9,0.2,
"All other diagnoses",26.5,0.8,
