| Diagnosis group                                                                                    | Number |
| Hyperplasia of prostate                                                                            | 117    |
| Other disorders of male genital organs                                                             | 277    |
| Disorders of the breast                                                                            | 381    |
| Inflammatory disease of female pelvic organs                                                       | 254    |
| Noninflammatory disorders of the female genital organs                                             | 379    |
| Disorders of menstruation and abnormal bleeding                                                    | 423    |
| Menopausal and postmenopausal disorders                                                            | 85     |
| Other disorders of female genital tract                                                            | 670    |
| Complications of pregnancy, childbirth, and the puerperium                                         | 1494   |
| Diseases of the skin and subcutaneous tissue                                                       | 3088   |
| Cellulitis and abscess                                                                             | 532    |
| Other infection of the skin and subcutaneous tissue                                                | 206    |
| Contact dermatitis and other eczema                                                                | 545    |
| Psoriasis and similar disorders                                                                    | 154    |
| Other inflammatory conditions of skin and subcutaneous tissue                                      | 339    |
| Corns, callosities, other hypertrophic and atrophic skin conditions                                | 133    |
| Actinic and seborrheic keratosis                                                                   | \*     |
| Acne                                                                                               | 149    |
| Sebaceous cyst                                                                                     | 108    |
| Urticaria                                                                                          | 104    |
| Other disorders of the skin and subcutaneous tissue                                                | 746    |
| Diseases of the musculoskeletal system and connective tissue                                       | 6575   |
| Rheumatoid arthritis                                                                               | \*249  |
| Osteoarthrosis and allied disorders                                                                | 511    |
| Other arthropathies and related disorders                                                          | 404    |
| Derangements and other unspecified disorders of joints                                             | 1141   |
| Intervertebral disc disorders                                                                      | 418    |
| Lumbago                                                                                            | 513    |
| Other dorsopathies                                                                                 | 1301   |
| Peripheral enthesopathies                                                                          | 431    |
| Synovitis and tenosynovitis                                                                        | 90     |
| Myalgia and myositis, unspecified                                                                  | 211    |
| Other rheumatism,excluding back                                                                    | 739    |
| Disorders of bone and cartilage                                                                    | 400    |
| Other diseases of the musculoskeletal system and connective tissue                                 | 167    |
| Congenital anomalies                                                                               | 582    |
| Certain conditions originating in the perinatal period                                             | 160    |
| Symptoms, signs, and ill-defined conditions                                                        | 5995   |
| Syncope and collapse                                                                               | \*81   |
| Convulsions                                                                                        | 228    |
| Dizziness and giddiness                                                                            | 152    |
| Pyrexia of unknown origin                                                                          | 131    |
| Symptoms involving skin and other integumentary tissue                                             | 614    |
| Headache                                                                                           | 356    |
| Epistaxis                                                                                          | 45     |
| Abnormal heart sounds                                                                              | 188    |
| Dyspnea and respiratory abnormalities                                                              | 183    |
| Cough                                                                                              | 389    |
| Chest pain                                                                                         | 422    |
| Symptoms involving the urinary system                                                              | 363    |
| Abdominal pain                                                                                     | 743    |
| Other symptoms, signs and ill-defined conditions                                                   | 2101   |
| Injury and poisoning                                                                               | 5176   |
| Fracture of radius and ulna                                                                        | 167    |
| Fracture of hand and fingers                                                                       | 215    |
| Fracture of lower limb                                                                             | 404    |
| Other fractures                                                                                    | 281    |
| Sprains and strains of wrist and hand                                                              | 143    |
| Sprains and strains of knee and leg                                                                | 163    |
| Sprains and strains of ankle                                                                       | 268    |
| Sprains and strains of neck                                                                        | \*100  |
| Other sprains and strains of back                                                                  | 264    |
| Other sprains and strains                                                                          | 312    |
| Intracranial injury, excluding those with skull fracture                                           | \*20   |
| Open wound of head                                                                                 | 138    |
| Open wound of hand and fingers                                                                     | 218    |
| Other open wound                                                                                   | 455    |
| Superficial injuries of cornea                                                                     | \*37   |
| Other superficial injury                                                                           | 252    |
| Contusion with intact skin surface                                                                 | 530    |
| Other injuries                                                                                     | 795    |
| Poisonings                                                                                         | \*     |
| Other and unspecified effects of external causes                                                   | 210    |
| Complications of surgical and medical care, not elsewhere classified                               | 164    |
| Supplementary classification of factors influencing health status and contact with health services | 19542  |
| Potential health hazards related to communicable diseases                                          | 1427   |
| Potential health hazards related to personal and family history                                    | 1122   |
| Routine infant or child health check                                                               | 3475   |
| Normal pregnancy                                                                                   | 2831   |
| Postpartum care and examination                                                                    | 229    |
| Encounter for contraceptive management                                                             | 484    |
| Other encounter related to reproduction                                                            | 570    |
| Lens replaced by pseudophakos                                                                      | \*     |
| Artificial opening status and other postsurgical states                                            | 576    |
| Attention to dressings and sutures                                                                 | 197    |
| Follow-up examination                                                                              | 931    |
| General medical examination                                                                        | 1403   |
| Observation and evaluation for suspected conditions not found                                      | 729    |
| Gynecological examination                                                                          | 1161   |
| Other factors influencing health status and contact with health services                           | 4384   |
| Blank and illegible                                                                                | 1262   |
