"Diagnosis group","Number of visits in thousands"
"Hernia of abdominal cavity",3770
"Noninfectious enteritis and colitis",6101
"Diverticula of intestine",1992
Constipation,3074
"Irritable bowel syndrome",1262
"Anal and rectal diseases",2060
"Disorder of gallbladder and biliary tract",2206
"Gastrointestinal hemorrhage",1163
"Other diseases of the digestive system",14889
"Diseases of the genitourinary system",48140
"Calculus of kidney and ureter",2397
"Cystitis and other disorders of the bladder",2187
"Urinary tract infection, site not specified",8334
"Other diseases of the urinary system",6526
"Hyperplasia of prostate",3232
"Other disorders of male genital organs",3800
"Disorders of the breast",3548
"Inflammatory disease of female pelvic organs",2788
"Noninflammatory disorders of the female genital organs",3667
"Disorders of menstruation and abnormal bleeding",4083
"Menopausal and postmenopausal disorders",2070
"Other disorders of female genital tract",5510
"Complications of pregnancy, childbirth, and the puerperium",8437
"Diseases of the skin and subcutaneous tissue",51821
"Cellulitis and abscess",8083
"Other infection of the skin and subcutaneous tissue",2336
"Contact dermatitis and other eczema",9759
"Psoriasis and similar disorders",2020
"Other inflammatory conditions of skin and subcutaneous tissue",5588
"Corns, callosities, other hypertrophic and atrophic skin conditions",2068
"Actinic and seborrheic keratosis",6079
Acne,4443
"Sebaceous cyst",2091
Urticaria,1439
"Other disorders of the skin and subcutaneous tissue",7914
"Diseases of the musculoskeletal system and connective tissue",91953
"Rheumatoid arthritis",2899
"Osteoarthrosis and allied disorders",12392
"Other arthropathies and related disorders",5323
"Derangements and other unspecified disorders of joints",13522
"Intervertebral disc disorders",6069
Lumbago,6863
"Other dorsopathies",17688
"Peripheral enthesopathies",6724
"Synovitis and tenosynovitis",1887
"Myalgia and myositis, unspecified",2694
"Other rheumatism,excluding back",9824
"Disorders of bone and cartilage",4219
"Other diseases of the musculoskeletal system and connective tissue",1846
"Congenital anomalies",3234
"Certain conditions originating in the perinatal period",1293
"Symptoms, signs, and ill-defined conditions",88564
"Syncope and collapse",2399
Convulsions,2361
"Dizziness and giddiness",3591
"Pyrexia of unknown origin",3246
"Symptoms involving skin and other integumentary tissue",7265
Headache,5136
Epistaxis,1306
"Abnormal heart sounds",1897
"Dyspnea and respiratory abnormalities",3352
Cough,3862
"Chest pain",8645
"Symptoms involving the urinary system",5160
"Abdominal pain",12574
"Other symptoms, signs and ill-defined conditions",27770
"Injury and poisoning",79978
"Fracture of radius and ulna",2240
"Fracture of hand and fingers",2923
"Fracture of lower limb",5038
"Other fractures",3568
"Sprains and strains of wrist and hand",1635
"Sprains and strains of knee and leg",2516
"Sprains and strains of ankle",3235
"Sprains and strains of neck",2239
"Other sprains and strains of back",5332
"Other sprains and strains",6867
"Intracranial injury, excluding those with skull fracture",608
"Open wound of head",3230
"Open wound of hand and fingers",3286
"Other open wound",4706
"Superficial injuries of cornea",692
"Other superficial injury",3612
"Contusion with intact skin surface",9620
"Other injuries",10892
Poisonings,1367
"Other and unspecified effects of external causes",4299
"Complications of surgical and medical care, not elsewhere classified",2073
"Supplementary classification of factors influencing health status and contact with health services",212607
"Potential health hazards related to communicable diseases",6136
"Potential health hazards related to personal and family history",11112
"Routine infant or child health check",43180
"Normal pregnancy",21396
"Postpartum care and examination",2400
"Encounter for contraceptive management",3428
"Other encounter related to reproduction",3211
"Lens replaced by pseudophakos",1590
"Artificial opening status and other postsurgical states",7246
"Attention to dressings and sutures",2165
"Follow-up examination",17295
"General medical examination",18007
"Observation and evaluation for suspected conditions not found",7592
"Gynecological examination",15779
"Other factors influencing health status and contact with health services",52071
"Blank and illegible",25226
