"Cause of death","All ages","Under 1 year",1–4,5–14,15–24,25–34,35–44,45–54,55–64,65–74,75–84,"85 and over"
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",32408,2453,229,103,502,1154,1365,1795,3396,4199,5576,11600
"Accidents (unintentional injuries)",173040,1266,1149,1492,11755,24516,24070,23359,24892,17163,18438,24926
"Motor vehicle accidents",39107,74,361,847,6031,6807,5397,5280,5811,4132,2953,1412
Falls,39443,7,23,28,178,330,537,1206,2922,5388,10565,18259
"Accidental discharge of firearms",486,2,24,25,128,74,57,63,51,26,29,7
"Accidental drowning and submersion",3692,34,378,233,415,451,415,466,500,419,273,105
"Accidental hanging, strangulation, and suffocation",7076,1095,139,61,108,171,224,425,859,1119,1286,1589
"Accidental exposure to smoke, fire and flames",2692,8,74,111,81,154,191,271,568,614,406,213
"Accidental poisoning and exposure to noxious substances",65773,14,27,33,4346,15595,16063,14105,11856,3055,477,195
"Intentional self–harm (suicide)",47511,…,…,546,5954,8059,7525,8012,8238,4867,2977,1329
"Intentional self–harm (suicide) by poisoning",6125,…,…,31,482,714,958,1398,1385,697,332,128
"Intentional self–harm (suicide) by hanging, strangulation and suffocation",13563,…,…,328,2153,3113,2782,2303,1834,702,247,100
"Intentional self–harm (suicide) by discharge of firearms",23941,…,…,172,2800,3507,3187,3616,4266,3130,2244,1018
"Assault (homicide)",19141,263,284,346,4774,5341,3446,2053,1561,693,274,104
"Assault (homicide) by discharge of firearms",14414,10,47,212,4339,4498,2660,1359,824,314,114,36
"Legal intervention",652,–,–,–,104,207,153,107,61,12,7,1
"Complications of medical and surgical care",5329,29,26,38,53,107,199,407,894,1414,1291,871
"Dementia-related causes2",271872,10,19,25,5,26,48,359,3464,18666,71646,177602
"Drug-induced deaths2",74511,50,50,63,4891,16953,17607,15908,13873,3982,825,301
"Drug overdose deaths2",70630,50,50,63,4777,16375,16859,15083,12896,3557,672,240
"Alcohol-induced deaths2",39043,–,–,2,164,1918,4614,9004,13814,7077,2020,421
"Injury by firearms2",39707,12,74,424,7437,8323,6071,5173,5225,3502,2401,1062
